 Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   Piola_Stress:4   Piola_Stress:5   Piola_Stress:6   Piola_Stress:7   Piola_Stress:8   Deformation_Gradient:0   Deformation_Gradient:1   Deformation_Gradient:2   Deformation_Gradient:3   Deformation_Gradient:4   Deformation_Gradient:5   Deformation_Gradient:6   Deformation_Gradient:7   Deformation_Gradient:8   Equivalent_Plastic_Strain   Displacements:0   Displacements:1   Displacements:2   J   p   vtkOriginalPointIds   Points:0   Points:1   Points:2 
-4.37562e+09 -1.23814e+06 0.00000e+00 -6.97056e+05 -3.12438e+09 0.00000e+00 0.00000e+00 0.00000e+00 -3.88333e+09 9.51726e-01 2.50275e-16 0.00000e+00 -1.39740e-04 1.02733e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 4.50020e-02 0.00000e+00 1.31846e-02 0.00000e+00 9.77737e-01 -3.83794e+09 629 0.00000e+00 1.45762e+00 0.00000e+00
-4.24076e+09 -8.57341e+06 0.00000e+00 -7.50801e+06 -2.93725e+09 0.00000e+00 0.00000e+00 0.00000e+00 -3.67615e+09 9.49707e-01 2.55546e-16 0.00000e+00 -4.03196e-04 1.03060e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 4.79556e-02 0.00000e+00 1.64104e-02 0.00000e+00 9.78768e-01 -3.65451e+09 631 0.00000e+00 1.57197e+00 0.00000e+00
-3.93783e+09 -2.00568e+06 0.00000e+00 -6.84521e+05 -2.60288e+09 0.00000e+00 0.00000e+00 0.00000e+00 -3.36392e+09 9.47753e-01 3.00053e-16 0.00000e+00 -3.63000e-04 1.03467e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 5.13549e-02 0.00000e+00 1.99847e-02 0.00000e+00 9.80612e-01 -3.32756e+09 633 0.00000e+00 1.68665e+00 0.00000e+00
-3.63645e+09 2.95057e+06 0.00000e+00 4.19949e+06 -2.25622e+09 0.00000e+00 0.00000e+00 0.00000e+00 -3.03311e+09 9.45075e-01 4.18177e-16 0.00000e+00 -2.47663e-04 1.03963e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 5.56107e-02 0.00000e+00 2.41158e-02 0.00000e+00 9.82528e-01 -2.99074e+09 635 0.00000e+00 1.80190e+00 0.00000e+00
-3.39984e+09 -5.06019e+06 0.00000e+00 -4.24466e+06 -1.95349e+09 0.00000e+00 0.00000e+00 0.00000e+00 -2.72968e+09 9.41285e-01 5.63785e-16 0.00000e+00 -3.82000e-04 1.04558e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 6.10068e-02 0.00000e+00 2.87910e-02 0.00000e+00 9.84189e-01 -2.70017e+09 637 0.00000e+00 1.91768e+00 0.00000e+00
-3.04875e+09 -2.72387e+07 0.00000e+00 -2.69471e+07 -1.52744e+09 0.00000e+00 0.00000e+00 0.00000e+00 -2.33588e+09 9.35912e-01 6.62448e-17 0.00000e+00 -1.15394e-03 1.05406e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 6.86749e-02 0.00000e+00 3.42443e-02 0.00000e+00 9.86507e-01 -2.29741e+09 639 0.00000e+00 2.03424e+00 0.00000e+00
-2.75443e+09 -4.75491e+07 0.00000e+00 -4.70230e+07 -1.12351e+09 0.00000e+00 0.00000e+00 0.00000e+00 -1.95695e+09 9.28347e-01 -6.34584e-16 0.00000e+00 -2.57548e-03 1.06497e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 7.89524e-02 0.00000e+00 4.08038e-02 0.00000e+00 9.88662e-01 -1.92530e+09 641 0.00000e+00 2.15191e+00 0.00000e+00
-2.53484e+09 -5.66351e+07 0.00000e+00 -5.37274e+07 -7.63985e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.62324e+09 9.18659e-01 -8.08164e-16 0.00000e+00 -4.70448e-03 1.07822e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 9.16879e-02 0.00000e+00 4.86811e-02 0.00000e+00 9.90517e-01 -1.60703e+09 643 0.00000e+00 2.27090e+00 0.00000e+00
-2.29815e+09 -7.05483e+07 0.00000e+00 -6.53189e+07 -3.80717e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.28658e+09 9.07728e-01 -8.30824e-16 0.00000e+00 -7.91069e-03 1.09336e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.06127e-01 0.00000e+00 5.81855e-02 0.00000e+00 9.92473e-01 -1.27237e+09 645 0.00000e+00 2.39152e+00 0.00000e+00
-2.12617e+09 -8.76952e+07 0.00000e+00 -7.99820e+07 -6.66182e+07 0.00000e+00 0.00000e+00 0.00000e+00 -1.03095e+09 8.97124e-01 -7.11779e-16 0.00000e+00 -1.21323e-02 1.10800e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.20136e-01 0.00000e+00 6.94277e-02 0.00000e+00 9.94013e-01 -1.00976e+09 647 0.00000e+00 2.51387e+00 0.00000e+00
-2.16604e+09 -1.32576e+08 0.00000e+00 -1.24723e+08 2.72144e+07 0.00000e+00 0.00000e+00 0.00000e+00 -9.50157e+08 8.88907e-01 -4.55961e-16 0.00000e+00 -1.74030e-02 1.11860e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.30836e-01 0.00000e+00 8.21844e-02 0.00000e+00 9.94331e-01 -9.53008e+08 649 0.00000e+00 2.63774e+00 0.00000e+00
-2.07871e+09 -1.32351e+08 0.00000e+00 -1.15378e+08 1.67320e+08 0.00000e+00 0.00000e+00 0.00000e+00 -8.35618e+08 8.85402e-01 -8.63432e-17 0.00000e+00 -2.23347e-02 1.12383e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.36042e-01 0.00000e+00 9.57827e-02 0.00000e+00 9.95041e-01 -8.32500e+08 651 0.00000e+00 2.76245e+00 0.00000e+00
-1.93091e+09 -1.94069e+08 0.00000e+00 -1.84458e+08 2.34617e+08 0.00000e+00 0.00000e+00 0.00000e+00 -6.92701e+08 8.86724e-01 2.31071e-16 0.00000e+00 -2.77494e-02 1.12294e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.35892e-01 0.00000e+00 1.09701e-01 0.00000e+00 9.95738e-01 -7.15061e+08 653 0.00000e+00 2.88748e+00 0.00000e+00
-2.35259e+09 -2.19454e+08 0.00000e+00 -1.86133e+08 -3.84458e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.07931e+09 8.91305e-01 9.02598e-16 0.00000e+00 -3.20369e-02 1.11390e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.29318e-01 0.00000e+00 1.23102e-01 0.00000e+00 9.92825e-01 -1.20780e+09 655 0.00000e+00 3.01199e+00 0.00000e+00
5.62103e+08 6.19066e+07 0.00000e+00 5.60671e+07 1.67704e+09 0.00000e+00 0.00000e+00 0.00000e+00 1.27644e+09 9.09729e-01 1.43895e-15 0.00000e+00 -3.73142e-02 1.10720e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.17021e-01 0.00000e+00 1.35013e-01 0.00000e+00 1.00725e+00 1.20536e+09 657 0.00000e+00 3.13501e+00 0.00000e+00
