 Equivalent_Plastic_Strain   F:0   F:1   F:2   F:3   Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   p   sig:0   sig:1   sig:2   sig:3   velocity:0   velocity:1   vtkOriginalPointIds   Points:0   Points:1   Points:2 
4.21199e-02 9.58918e-01 3.37826e-02 -9.64869e-03 1.03378e+00 -1.94778e+09 1.31732e+08 1.94575e+08 -9.35558e+08 -1.39940e+09 -1.86963e+09 1.35347e+08 -9.62713e+08 -1.36586e+09 0.00000e+00 0.00000e+00 0 -9.45268e-04 1.18336e-03 0.00000e+00
4.44029e-02 9.62624e-01 -5.73409e-04 4.71881e-03 1.04598e+00 6.97185e+08 1.87442e+07 2.47208e+07 1.57118e+09 1.14393e+09 6.71243e+08 2.54577e+07 1.64341e+09 1.11715e+09 -3.94682e-01 0.00000e+00 1 9.48968e-01 2.64920e-03 0.00000e+00
2.97915e-03 1.00118e+00 -4.63194e-03 -2.26581e-03 1.00463e+00 9.18738e+08 -2.00625e+08 -1.98222e+08 1.11827e+09 9.65206e+08 9.20273e+08 -2.03396e+08 1.12438e+09 8.50963e+08 6.41909e+00 0.00000e+00 2 2.94034e+00 4.30077e-04 0.00000e+00
7.25566e-02 9.33439e-01 -3.86285e-04 -6.97776e-03 1.06718e+00 -1.39176e+09 -4.05711e+07 -3.59808e+07 -1.48174e+06 -6.43977e+08 -1.29887e+09 -3.78603e+07 -1.56561e+06 -6.31496e+08 5.14165e+00 0.00000e+00 9 1.04772e-01 2.16961e-03 0.00000e+00
6.97172e-02 9.36787e-01 -1.53340e-03 1.24989e-02 1.06526e+00 -1.04451e+09 5.86708e+07 5.32167e+07 2.66364e+08 -3.43705e+08 -9.77819e+08 5.82913e+07 2.83657e+08 -3.36954e+08 -1.48675e+00 0.00000e+00 10 2.08627e-01 2.16613e-03 0.00000e+00
6.19710e-02 9.44879e-01 -4.25806e-03 1.52733e-02 1.05947e+00 -4.18606e+08 5.38134e+07 5.68758e+07 7.32869e+08 1.88846e+08 -3.94663e+08 6.20405e+07 7.76222e+08 1.84978e+08 5.35500e+00 0.00000e+00 11 3.13223e-01 2.08382e-03 0.00000e+00
5.72810e-02 9.48440e-01 -7.88661e-04 1.19663e-02 1.05442e+00 -5.77798e+08 5.90521e+07 5.88095e+07 5.39708e+08 1.07515e+07 -5.47303e+08 6.24657e+07 5.69032e+08 1.05247e+07 -1.07795e+01 0.00000e+00 12 4.18281e-01 1.95651e-03 0.00000e+00
5.30743e-02 9.53953e-01 -8.90596e-04 9.15035e-03 1.05274e+00 1.91842e+08 3.83041e+07 4.52227e+07 1.19085e+09 7.10799e+08 1.83422e+08 4.74369e+07 1.25362e+09 6.95352e+08 -7.49267e+00 0.00000e+00 13 5.23989e-01 2.08011e-03 0.00000e+00
5.27936e-02 9.52658e-01 -8.54237e-04 6.56254e-03 1.05100e+00 -3.41181e+08 2.97856e+07 3.11452e+07 7.08491e+08 2.07625e+08 -3.24825e+08 3.30250e+07 7.44597e+08 2.03104e+08 -3.15535e+01 0.00000e+00 14 6.29726e-01 2.20475e-03 0.00000e+00
4.93345e-02 9.57083e-01 -8.74041e-04 6.39666e-03 1.04927e+00 2.07784e+08 2.63406e+07 3.13354e+07 1.17053e+09 7.05722e+08 1.99067e+08 3.26976e+07 1.22817e+09 6.89922e+08 -7.31284e+00 0.00000e+00 15 7.36012e-01 2.39769e-03 0.00000e+00
4.88214e-02 9.56259e-01 -9.20988e-04 5.50190e-03 1.04747e+00 -2.43170e+08 2.42643e+07 2.59076e+07 7.55852e+08 2.76552e+08 -2.32391e+08 2.73615e+07 7.91713e+08 2.70334e+08 -1.98152e+01 0.00000e+00 16 8.42213e-01 2.53637e-03 0.00000e+00
4.12679e-02 9.67109e-01 -5.67980e-04 3.01918e-03 1.04484e+00 1.33385e+09 9.45956e+06 1.56347e+07 2.12960e+09 1.73655e+09 1.29003e+09 1.55781e+07 2.22509e+09 1.69454e+09 -6.60110e+00 0.00000e+00 17 1.05613e+00 2.69726e-03 0.00000e+00
3.83349e-02 9.71399e-01 -5.31905e-04 1.81366e-03 1.04374e+00 1.93321e+09 3.76939e+06 9.11627e+06 2.66044e+09 2.29860e+09 1.87793e+09 8.48672e+06 2.77680e+09 2.24107e+09 2.81271e+01 0.00000e+00 18 1.16409e+00 2.72410e-03 0.00000e+00
3.57110e-02 9.75093e-01 -6.82111e-04 7.78665e-04 1.04252e+00 2.39958e+09 -1.49838e+06 2.46501e+06 3.07464e+09 2.73717e+09 2.33981e+09 9.33055e+05 3.20539e+09 2.66630e+09 4.30559e+01 0.00000e+00 19 1.27235e+00 2.72340e-03 0.00000e+00
3.14664e-02 9.82029e-01 -6.76827e-04 2.66375e-04 1.04116e+00 3.41022e+09 -3.73968e+06 -2.89399e+05 3.99071e+09 3.70095e+09 3.34893e+09 -2.60944e+06 4.15499e+09 3.59892e+09 8.32890e+01 0.00000e+00 20 1.38139e+00 2.71388e-03 0.00000e+00
2.51321e-02 9.94714e-01 -6.94476e-04 -2.23208e-04 1.03979e+00 5.39188e+09 -5.65846e+06 -3.06131e+06 5.82022e+09 5.62031e+09 5.36338e+09 -6.92766e+06 6.05184e+09 5.44571e+09 9.92819e+01 0.00000e+00 21 1.49134e+00 2.68537e-03 0.00000e+00
2.14165e-02 1.00344e+00 -6.84711e-04 -6.21003e-04 1.03841e+00 6.65743e+09 -6.50038e+06 -6.07444e+06 6.99424e+09 6.85506e+09 6.68034e+09 -1.08662e+07 7.26292e+09 6.62192e+09 1.25623e+02 0.00000e+00 22 1.60255e+00 2.64069e-03 0.00000e+00
