 velocity:0   velocity:1   PK1:0   PK1:1   PK1:2   PK1:3   epeq   F:0   F:1   F:2   F:3   vtkOriginalPointIds   Points:0   Points:1   Points:2 
-0.00000e+00 7.83773e+00 -1.24548e+09 -5.78670e+07 -6.03459e+07 -1.75434e+07 6.42556e-02 9.32621e+06 -0.00000e+00 0.00000e+00 3.63469e+07 0 0.00000e+00 2.98219e-03 0.00000e+00
-0.00000e+00 2.66644e+02 -1.92172e+09 6.06196e+07 3.11311e+07 9.82854e+06 1.11770e-01 8.92057e+06 -0.00000e+00 -0.00000e+00 3.79623e+07 4 0.00000e+00 3.23873e+00 0.00000e+00
-0.00000e+00 1.24989e+02 -1.71602e+09 -4.32957e+07 -5.05836e+07 -3.55886e+08 6.97979e-02 9.25484e+06 -0.00000e+00 -0.00000e+00 3.65449e+07 5 0.00000e+00 1.05780e+00 0.00000e+00
-0.00000e+00 2.66124e+02 -2.00927e+09 1.06262e+08 5.46413e+07 2.01679e+07 1.19033e-01 8.86178e+06 -0.00000e+00 0.00000e+00 3.82042e+07 84 0.00000e+00 3.11571e+00 0.00000e+00
-0.00000e+00 2.65194e+02 -2.04625e+09 1.08506e+08 5.49620e+07 2.41055e+07 1.21864e-01 8.83578e+06 -0.00000e+00 -0.00000e+00 3.83135e+07 85 0.00000e+00 2.99210e+00 0.00000e+00
-0.00000e+00 2.63674e+02 -2.07313e+09 8.94820e+07 3.60099e+07 2.00827e+07 1.23121e-01 8.82531e+06 -0.00000e+00 0.00000e+00 3.83547e+07 86 0.00000e+00 2.86861e+00 0.00000e+00
-0.00000e+00 2.61249e+02 -2.09223e+09 5.41635e+07 5.80977e+06 5.29779e+06 1.22900e-01 8.82616e+06 -0.00000e+00 0.00000e+00 3.83469e+07 87 0.00000e+00 2.74508e+00 0.00000e+00
-0.00000e+00 2.57674e+02 -2.10379e+09 1.50295e+07 -2.68930e+07 -2.14983e+07 1.21339e-01 8.83797e+06 -0.00000e+00 0.00000e+00 3.82905e+07 88 0.00000e+00 2.62166e+00 0.00000e+00
-0.00000e+00 2.52791e+02 -2.11045e+09 -2.23642e+07 -5.61906e+07 -5.93007e+07 1.18741e-01 8.85836e+06 -0.00000e+00 -0.00000e+00 3.81968e+07 89 0.00000e+00 2.49849e+00 0.00000e+00
-0.00000e+00 2.46565e+02 -2.11125e+09 -5.11863e+07 -8.14153e+07 -1.07653e+08 1.15031e-01 8.88759e+06 -0.00000e+00 -0.00000e+00 3.80633e+07 90 0.00000e+00 2.37567e+00 0.00000e+00
-0.00000e+00 2.39195e+02 -2.10931e+09 -6.89660e+07 -9.42460e+07 -1.63250e+08 1.10564e-01 8.92237e+06 -0.00000e+00 -0.00000e+00 3.79069e+07 91 0.00000e+00 2.25337e+00 0.00000e+00
-0.00000e+00 2.30607e+02 -2.09764e+09 -8.31228e+07 -1.03780e+08 -2.20663e+08 1.05357e-01 8.96311e+06 -0.00000e+00 -0.00000e+00 3.77271e+07 92 0.00000e+00 2.13155e+00 0.00000e+00
-0.00000e+00 2.21223e+02 -2.08453e+09 -8.75442e+07 -1.06184e+08 -2.77798e+08 1.00036e-01 9.00466e+06 -0.00000e+00 -0.00000e+00 3.75453e+07 93 0.00000e+00 2.01038e+00 0.00000e+00
-0.00000e+00 2.10927e+02 -2.07465e+09 -9.13419e+07 -1.08095e+08 -3.32018e+08 9.52468e-02 9.04286e+06 -0.00000e+00 -0.00000e+00 3.73791e+07 94 0.00000e+00 1.88971e+00 0.00000e+00
-0.00000e+00 2.00004e+02 -2.05285e+09 -9.08463e+07 -1.04125e+08 -3.77926e+08 9.03048e-02 9.08244e+06 -0.00000e+00 -0.00000e+00 3.72111e+07 95 0.00000e+00 1.76958e+00 0.00000e+00
-0.00000e+00 1.88620e+02 -2.02802e+09 -8.62672e+07 -9.57038e+07 -4.10398e+08 8.61826e-02 9.11562e+06 -0.00000e+00 -0.00000e+00 3.70728e+07 96 0.00000e+00 1.65000e+00 0.00000e+00
-0.00000e+00 1.76584e+02 -1.98860e+09 -7.94809e+07 -9.41975e+07 -4.31869e+08 8.20309e-02 9.14977e+06 -0.00000e+00 -0.00000e+00 3.69329e+07 97 0.00000e+00 1.53077e+00 0.00000e+00
-0.00000e+00 1.64318e+02 -1.93391e+09 -6.89806e+07 -7.92463e+07 -4.37461e+08 7.79680e-02 9.18355e+06 -0.00000e+00 -0.00000e+00 3.68007e+07 98 0.00000e+00 1.41209e+00 0.00000e+00
-0.00000e+00 1.51436e+02 -1.87091e+09 -6.23232e+07 -7.02333e+07 -4.23818e+08 7.48856e-02 9.20976e+06 -0.00000e+00 -0.00000e+00 3.67026e+07 99 0.00000e+00 1.29367e+00 0.00000e+00
-0.00000e+00 1.38357e+02 -1.79630e+09 -5.13700e+07 -5.96913e+07 -3.96034e+08 7.20484e-02 9.23423e+06 -0.00000e+00 -0.00000e+00 3.66147e+07 100 0.00000e+00 1.17562e+00 0.00000e+00
-0.00000e+00 1.11404e+02 -1.63241e+09 -3.79225e+07 -4.34189e+07 -3.08319e+08 6.78712e-02 9.27314e+06 -0.00000e+00 -0.00000e+00 3.64859e+07 101 0.00000e+00 9.40128e-01 0.00000e+00
-0.00000e+00 9.79542e+01 -1.55303e+09 -2.92173e+07 -3.20583e+07 -2.54867e+08 6.65797e-02 9.28568e+06 -0.00000e+00 -0.00000e+00 3.64504e+07 102 0.00000e+00 8.22728e-01 0.00000e+00
-0.00000e+00 8.44241e+01 -1.47581e+09 -2.44032e+07 -2.96259e+07 -2.01737e+08 6.54243e-02 9.29749e+06 -0.00000e+00 0.00000e+00 3.64174e+07 103 0.00000e+00 7.05319e-01 0.00000e+00
-0.00000e+00 7.11374e+01 -1.40122e+09 -2.06346e+07 -2.37361e+07 -1.53517e+08 6.39997e-02 9.31146e+06 -0.00000e+00 -0.00000e+00 3.63758e+07 104 0.00000e+00 5.88095e-01 0.00000e+00
-0.00000e+00 5.80088e+01 -1.34163e+09 -1.92198e+07 -2.03772e+07 -1.10467e+08 6.31989e-02 9.31991e+06 -0.00000e+00 -0.00000e+00 3.63538e+07 105 0.00000e+00 4.70955e-01 0.00000e+00
-0.00000e+00 4.51016e+01 -1.29202e+09 -1.71245e+07 -1.95857e+07 -7.64405e+07 6.23777e-02 9.32797e+06 -0.00000e+00 0.00000e+00 3.63310e+07 106 0.00000e+00 3.53880e-01 0.00000e+00
-0.00000e+00 3.23899e+01 -1.24754e+09 -1.88336e+07 -2.06870e+07 -5.31454e+07 6.10482e-02 9.34072e+06 -0.00000e+00 0.00000e+00 3.62886e+07 107 0.00000e+00 2.36849e-01 0.00000e+00
-0.00000e+00 1.99102e+01 -1.23316e+09 -3.43540e+07 -2.49689e+07 -3.31086e+07 6.17835e-02 9.33513e+06 0.00000e+00 -0.00000e+00 3.63126e+07 108 0.00000e+00 1.19963e-01 0.00000e+00
