 Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   Piola_Stress:4   Piola_Stress:5   Piola_Stress:6   Piola_Stress:7   Piola_Stress:8   Equivalent_Plastic_Strain   Displacements:0   Displacements:1   Displacements:2   vtkOriginalPointIds   Points:0   Points:1   Points:2 
4.34758e+09 1.83196e+05 0.00000e+00 5.34379e+05 3.67729e+09 0.00000e+00 0.00000e+00 0.00000e+00 3.13128e+09 5.78147e-02 -5.79374e-02 0.00000e+00 0.00000e+00 440 1.09995e+00 0.00000e+00 0.00000e+00
5.01042e+09 8.15380e+05 0.00000e+00 1.11657e+06 4.16317e+09 0.00000e+00 0.00000e+00 0.00000e+00 3.77087e+09 5.81603e-02 -5.91831e-02 0.00000e+00 0.00000e+00 460 1.15135e+00 0.00000e+00 0.00000e+00
5.38990e+09 7.88877e+05 0.00000e+00 1.07807e+06 4.53514e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.19535e+09 5.80836e-02 -6.02146e-02 0.00000e+00 0.00000e+00 480 1.20295e+00 0.00000e+00 0.00000e+00
5.17939e+09 -8.60495e+05 0.00000e+00 -6.10002e+05 4.63533e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.22058e+09 5.73081e-02 -6.10986e-02 0.00000e+00 0.00000e+00 500 1.25469e+00 0.00000e+00 0.00000e+00
4.84940e+09 3.78510e+05 0.00000e+00 6.03924e+05 4.63398e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.07335e+09 5.59580e-02 -6.20310e-02 0.00000e+00 0.00000e+00 520 1.30639e+00 0.00000e+00 0.00000e+00
5.03186e+09 1.32782e+06 0.00000e+00 1.49986e+06 4.83578e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.17142e+09 5.48277e-02 -6.28966e-02 0.00000e+00 0.00000e+00 540 1.35815e+00 0.00000e+00 0.00000e+00
4.87087e+09 9.93372e+05 0.00000e+00 1.24491e+06 4.94086e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.20158e+09 5.41486e-02 -6.35992e-02 0.00000e+00 0.00000e+00 560 1.41008e+00 0.00000e+00 0.00000e+00
4.78874e+09 6.35585e+05 0.00000e+00 9.62928e+05 5.07657e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.26282e+09 5.35714e-02 -6.43466e-02 0.00000e+00 0.00000e+00 580 1.46197e+00 0.00000e+00 0.00000e+00
4.86604e+09 1.87601e+06 0.00000e+00 2.29524e+06 5.19860e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.34857e+09 5.30320e-02 -6.48964e-02 0.00000e+00 0.00000e+00 600 1.51405e+00 0.00000e+00 0.00000e+00
4.66161e+09 1.02396e+06 0.00000e+00 1.42253e+06 5.12675e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.28151e+09 5.24896e-02 -6.54482e-02 0.00000e+00 0.00000e+00 620 1.56613e+00 0.00000e+00 0.00000e+00
4.70365e+09 2.14733e+06 0.00000e+00 2.52393e+06 5.12793e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.27410e+09 5.16983e-02 -6.59356e-02 0.00000e+00 0.00000e+00 640 1.61827e+00 0.00000e+00 0.00000e+00
4.55207e+09 7.20076e+05 0.00000e+00 1.19966e+06 5.03613e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.19680e+09 5.11999e-02 -6.63359e-02 0.00000e+00 0.00000e+00 660 1.67050e+00 0.00000e+00 0.00000e+00
4.48730e+09 -2.42100e+06 0.00000e+00 -1.60404e+06 5.03237e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.19622e+09 5.10193e-02 -6.67229e-02 0.00000e+00 0.00000e+00 680 1.72275e+00 0.00000e+00 0.00000e+00
