 Fp:0   Fp:1   Fp:2   Fp:3   Fp:4   Equivalent_Plastic_Strain   F:0   F:1   F:2   F:3   Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   p   sig:0   sig:1   sig:2   sig:3   velocity:0   velocity:1   vtkOriginalPointIds   Points:0   Points:1   Points:2 
9.75144e-01 6.50234e-03 6.47624e-03 1.01292e+00 1.01245e+00 2.64881e-02 9.59009e-01 2.71632e-03 9.86678e-03 1.00040e+00 -7.67013e+09 4.18807e+07 -5.03481e+06 -6.69270e+09 -6.91354e+09 -7.35578e+09 -2.58714e+07 -6.69527e+09 -6.68958e+09 0.00000e+00 4.68686e-01 0 0.00000e+00 -5.09655e-04 0.00000e+00
9.16595e-01 -9.47339e-03 -8.83225e-03 1.08897e+00 1.00194e+00 1.04986e-01 9.09891e-01 -1.59184e-02 -3.86164e-04 1.09296e+00 -1.92613e+09 6.62743e+07 2.71469e+07 -7.49295e+07 -9.24688e+08 -1.75258e+09 6.03313e+07 -8.29498e+07 -9.38535e+08 -0.00000e+00 2.54983e+02 4 0.00000e+00 3.10904e+00 0.00000e+00
9.70190e-01 -4.24653e-04 -4.42010e-04 1.01862e+00 1.01189e+00 3.16545e-02 9.57573e-01 -1.09833e-03 -2.92087e-04 1.01054e+00 -6.06325e+09 -4.65007e+07 -4.92184e+07 -4.96365e+09 -5.47741e+09 -5.80599e+09 -4.30780e+07 -5.01594e+09 -5.61030e+09 -0.00000e+00 4.86458e+01 5 0.00000e+00 1.00369e+00 0.00000e+00
9.14200e-01 -1.05599e-02 -1.01610e-02 1.09162e+00 1.00215e+00 1.08000e-01 9.07217e-01 -1.99130e-02 1.71274e-03 1.09560e+00 -2.03654e+09 6.25805e+07 1.46032e+07 -1.29145e+08 -1.00571e+09 -1.84756e+09 5.65528e+07 -1.42738e+08 -1.02683e+09 -0.00000e+00 2.50430e+02 84 0.00000e+00 2.98707e+00 0.00000e+00
9.15232e-01 -1.07955e-02 -1.06872e-02 1.09016e+00 1.00238e+00 1.06193e-01 9.08175e-01 -1.90544e-02 -6.55735e-04 1.09389e+00 -2.12271e+09 2.04020e+07 -1.99054e+07 -2.19735e+08 -1.09793e+09 -1.92778e+09 1.86726e+07 -2.40756e+08 -1.12526e+09 -0.00000e+00 2.43897e+02 85 0.00000e+00 2.86497e+00 0.00000e+00
9.18770e-01 -1.06186e-02 -1.07042e-02 1.08567e+00 1.00264e+00 1.01625e-01 9.11659e-01 -1.88193e-02 -1.34831e-03 1.08897e+00 -2.21038e+09 -2.22290e+07 -5.63751e+07 -3.50394e+08 -1.21439e+09 -2.01504e+09 -1.97928e+07 -3.81149e+08 -1.24699e+09 -0.00000e+00 2.35191e+02 86 0.00000e+00 2.74360e+00 0.00000e+00
9.23533e-01 -1.00858e-02 -1.02917e-02 1.07970e+00 1.00297e+00 9.54074e-02 9.16384e-01 -1.77279e-02 -2.10665e-03 1.08242e+00 -2.31282e+09 -5.67851e+07 -8.49443e+07 -5.18682e+08 -1.35890e+09 -2.11926e+09 -5.09443e+07 -5.60428e+08 -1.39703e+09 -0.00000e+00 2.24527e+02 87 0.00000e+00 2.62286e+00 0.00000e+00
9.28927e-01 -9.20795e-03 -9.47398e-03 1.07300e+00 1.00336e+00 8.84011e-02 9.21712e-01 -1.61571e-02 -2.47041e-03 1.07505e+00 -2.43874e+09 -8.03458e+07 -1.03881e+08 -7.21135e+08 -1.53282e+09 -2.24756e+09 -7.22742e+07 -7.73957e+08 -1.57695e+09 -0.00000e+00 2.12442e+02 88 0.00000e+00 2.50291e+00 0.00000e+00
9.34405e-01 -8.14675e-03 -8.42896e-03 1.06621e+00 1.00381e+00 8.12387e-02 9.27076e-01 -1.43765e-02 -2.50309e-03 1.06753e+00 -2.59224e+09 -9.46318e+07 -1.14856e+08 -9.53210e+08 -1.73504e+09 -2.40291e+09 -8.53449e+07 -1.01622e+09 -1.78600e+09 -0.00000e+00 1.99500e+02 89 0.00000e+00 2.38378e+00 0.00000e+00
9.39670e-01 -7.02662e-03 -7.29544e-03 1.05968e+00 1.00432e+00 7.43206e-02 9.32169e-01 -1.25150e-02 -2.36078e-03 1.06024e+00 -2.77333e+09 -1.01702e+08 -1.19459e+08 -1.21010e+09 -1.96277e+09 -2.58493e+09 -9.19470e+07 -1.28173e+09 -2.02165e+09 -0.00000e+00 1.86164e+02 90 0.00000e+00 2.26548e+00 0.00000e+00
