 velocity:0   velocity:1   Piola:0   Piola:1   Piola:2   Piola:3   epeq   F:0   F:1   F:2   F:3   vtkOriginalPointIds   Points:0   Points:1   Points:2 
0.00000e+00 0.00000e+00 -8.32112e+09 7.51709e-09 8.06598e-09 -7.75983e+09 3.28586e-02 9.54165e-01 1.00142e-19 -7.75039e-21 1.00000e+00 0 -2.37693e-19 1.58947e-36 0.00000e+00
3.37233e+00 0.00000e+00 -8.16255e+09 -1.30068e+07 -1.12563e+07 -7.24501e+09 3.48057e-02 9.54711e-01 -1.63732e-19 -1.58160e-04 1.00139e+00 1 9.61126e-01 2.17117e-20 0.00000e+00
-1.60386e+02 0.00000e+00 -2.26266e+08 -2.06171e+07 -2.05783e+07 -6.39766e+07 0.00000e+00 9.99097e-01 1.16341e-19 -2.67317e-04 1.00015e+00 2 2.89997e+00 2.39070e-21 0.00000e+00
-8.91405e+01 0.00000e+00 -8.20768e+09 -6.82114e+06 -5.97856e+06 -7.51389e+09 3.28861e-02 9.54165e-01 9.70126e-20 -6.98093e-05 1.00090e+00 9 1.08970e-01 1.43167e-20 0.00000e+00
2.17190e+01 0.00000e+00 -8.09427e+09 -1.36244e+07 -1.19635e+07 -7.26869e+09 3.29141e-02 9.54165e-01 5.00710e-20 -1.39619e-04 1.00180e+00 10 2.17940e-01 2.86333e-20 0.00000e+00
2.37918e+00 0.00000e+00 -6.32118e+09 -5.12409e+06 -4.63703e+06 -6.62399e+09 4.43854e-02 9.59688e-01 -1.20956e-19 -4.10116e-05 1.00191e+00 11 3.24077e-01 2.99194e-20 0.00000e+00
-1.69607e+01 0.00000e+00 -6.30578e+09 3.08714e+06 2.57748e+06 -6.59838e+09 4.43962e-02 9.59688e-01 1.12588e-20 5.75954e-05 1.00201e+00 12 4.30214e-01 3.12056e-20 0.00000e+00
3.35912e+00 0.00000e+00 -9.33040e+09 2.69947e+06 2.10046e+06 -8.04105e+09 3.27835e-02 9.49156e-01 -4.59372e-19 5.69313e-05 1.00189e+00 13 5.36123e-01 2.92280e-20 0.00000e+00
2.36789e+01 0.00000e+00 -9.35096e+09 2.64256e+06 2.05077e+06 -8.06485e+09 3.27330e-02 9.49156e-01 -4.08053e-19 5.62672e-05 1.00178e+00 14 6.42031e-01 2.72505e-20 0.00000e+00
2.09822e+01 0.00000e+00 -6.16876e+09 -2.71047e+06 -2.52682e+06 -6.56621e+09 3.78325e-02 9.60590e-01 -2.88144e-19 -1.10739e-05 1.00163e+00 15 7.48699e-01 2.52129e-20 0.00000e+00
1.82855e+01 0.00000e+00 -6.19236e+09 -6.96205e+06 -6.16066e+06 -6.60502e+09 3.78315e-02 9.60590e-01 -1.70179e-20 -7.84150e-05 1.00147e+00 16 8.55367e-01 2.31753e-20 0.00000e+00
-1.15408e+01 0.00000e+00 -7.09195e+09 -1.97669e+07 -1.73956e+07 -6.50826e+09 2.71355e-02 9.59507e-01 -1.60949e-20 -2.37905e-04 1.00130e+00 17 1.06688e+00 2.02482e-20 0.00000e+00
-6.24267e+00 0.00000e+00 -7.11181e+09 -2.22053e+07 -1.94907e+07 -6.54555e+09 2.71201e-02 9.59507e-01 -4.63230e-19 -2.73920e-04 1.00115e+00 18 1.17362e+00 1.82571e-20 0.00000e+00
-9.44511e-01 0.00000e+00 -6.87052e+09 -2.18299e+07 -1.88989e+07 -6.57982e+09 2.77693e-02 9.60023e-01 -1.78176e-20 -3.09936e-04 1.00101e+00 19 1.28035e+00 1.62660e-20 0.00000e+00
