 Equivalent_Plastic_Strain   F:0   F:1   F:2   F:3   Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   p   sig:0   sig:1   sig:2   sig:3   velocity:0   velocity:1   vtkOriginalPointIds   Points:0   Points:1   Points:2 
1.68546e-02 9.78557e-01 1.06626e-02 -4.61510e-03 1.01066e+00 -2.23758e+09 5.12100e+07 8.02214e+07 -1.53981e+09 -1.83679e+09 -2.18997e+09 5.72183e+07 -1.55569e+09 -1.76471e+09 0.00000e+00 0.00000e+00 0 -6.26805e-05 6.19917e-04 0.00000e+00
7.58007e-02 9.31166e-01 3.84222e-03 2.65180e-03 1.07090e+00 -1.22766e+09 3.23909e+07 3.30140e+07 1.79724e+08 -4.70739e+08 -1.14306e+09 3.06379e+07 1.92592e+08 -4.61746e+08 0.00000e+00 2.34680e+02 4 -2.84689e-03 3.23471e+00 0.00000e+00
6.76462e-02 9.40171e-01 8.30300e-03 4.65419e-04 1.06529e+00 -3.82990e+08 4.32273e+07 4.14963e+07 8.25913e+08 2.57512e+08 -3.60057e+08 4.10254e+07 8.80192e+08 2.52401e+08 0.00000e+00 8.56463e+01 5 -2.38618e-03 1.05777e+00 0.00000e+00
7.89698e-02 9.25862e-01 2.51589e-03 2.65180e-03 1.07090e+00 -2.29157e+09 2.84556e+07 2.82519e+07 -6.99955e+08 -1.42215e+09 -2.12160e+09 2.44898e+07 -7.49514e+08 -1.39533e+09 0.00000e+00 2.63610e+02 84 -3.12362e-03 3.11618e+00 0.00000e+00
9.34873e-02 9.18464e-01 7.82722e-04 4.74705e-03 1.09068e+00 -5.19744e+08 2.35458e+07 2.44437e+07 9.74797e+08 2.90376e+08 -4.77250e+08 2.62534e+07 1.06321e+09 2.85170e+08 0.00000e+00 2.71239e+02 85 -3.51694e-03 2.99621e+00 0.00000e+00
9.92415e-02 9.08969e-01 -1.35729e-03 4.74705e-03 1.09068e+00 -2.48181e+09 2.22955e+07 1.29028e+07 -5.95002e+08 -1.43971e+09 -2.25583e+09 1.74414e+07 -6.48986e+08 -1.41432e+09 0.00000e+00 2.57565e+02 86 -4.02684e-03 2.87480e+00 0.00000e+00
1.11160e-01 9.01705e-01 -3.23087e-03 2.51779e-03 1.10562e+00 -1.53759e+09 -1.51918e+06 -4.99293e+06 3.24624e+08 -5.09413e+08 -1.38646e+09 -5.52515e+05 3.58915e+08 -5.00691e+08 0.00000e+00 2.54704e+02 87 -4.43586e-03 2.75273e+00 0.00000e+00
1.14294e-01 8.96669e-01 -4.83800e-03 2.51779e-03 1.10562e+00 -2.61506e+09 -5.94745e+06 -1.74279e+07 -5.09977e+08 -1.44209e+09 -2.34489e+09 -6.61691e+06 -5.63810e+08 -1.41756e+09 0.00000e+00 2.62657e+02 88 -4.74401e-03 2.63002e+00 0.00000e+00
1.20245e-01 8.94610e-01 -4.81280e-03 -4.58806e-04 1.11501e+00 -1.50472e+09 -2.22564e+07 -2.45379e+07 4.51693e+08 -4.17681e+08 -1.34613e+09 -2.01180e+07 5.03749e+08 -4.10665e+08 0.00000e+00 2.64173e+02 89 -4.88932e-03 2.50668e+00 0.00000e+00
1.19658e-01 8.95528e-01 -3.15527e-03 -4.58806e-04 1.11501e+00 -1.30699e+09 -1.52573e+07 -1.62008e+07 6.03458e+08 -2.46690e+08 -1.17044e+09 -1.39402e+07 6.72910e+08 -2.42541e+08 0.00000e+00 2.59251e+02 90 -4.87181e-03 2.38271e+00 0.00000e+00
1.13511e-01 8.97935e-01 -2.27090e-03 -1.94843e-03 1.10560e+00 -2.34870e+09 -2.05495e+07 -2.09766e+07 -3.04908e+08 -1.21267e+09 -2.10894e+09 -1.78580e+07 -3.37059e+08 -1.19201e+09 0.00000e+00 2.54312e+02 91 -4.72812e-03 2.25926e+00 0.00000e+00
1.11095e-01 9.01832e-01 -2.15968e-03 -1.94843e-03 1.10560e+00 -1.51611e+09 -1.86586e+07 -1.87823e+07 3.40996e+08 -4.90893e+08 -1.36724e+09 -1.74913e+07 3.77044e+08 -4.82486e+08 0.00000e+00 2.49356e+02 92 -4.45825e-03 2.13634e+00 0.00000e+00
9.98496e-02 9.07341e-01 -2.45005e-03 -3.56125e-03 1.08979e+00 -2.97467e+09 -3.36906e+07 -3.14810e+07 -9.96594e+08 -1.87595e+09 -2.69893e+09 -2.70197e+07 -1.08600e+09 -1.84292e+09 0.00000e+00 2.37519e+02 93 -4.11172e-03 2.01418e+00 0.00000e+00
9.54812e-02 9.14464e-01 -3.14201e-03 -3.56125e-03 1.08979e+00 -1.48715e+09 -3.21290e+07 -3.18569e+07 1.86471e+08 -5.73150e+08 -1.35983e+09 -3.00448e+07 2.03316e+08 -5.62935e+08 0.00000e+00 2.18799e+02 94 -3.68852e-03 1.89278e+00 0.00000e+00
