 Fp:0   Fp:1   Fp:2   Fp:3   Fp:4   Equivalent_Plastic_Strain   F:0   F:1   F:2   F:3   Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   p   sig:0   sig:1   sig:2   sig:3   velocity:0   velocity:1   vtkOriginalPointIds   Points:0   Points:1   Points:2 
9.50480e-01 -1.16188e-03 -1.20532e-03 1.05024e+00 1.00177e+00 6.28764e-02 9.47505e-01 -1.50807e-03 -1.00488e-03 1.05458e+00 -6.03887e+08 -1.32415e+07 -1.32530e+07 5.16726e+08 -1.29979e+08 -5.72173e+08 -1.30656e+07 5.44950e+08 -3.62714e+08 -0.00000e+00 5.76787e+00 0 0.00000e+00 2.61140e-03 0.00000e+00
9.63119e-01 -2.89897e-03 -2.98908e-03 1.03828e+00 1.00003e+00 5.15202e-02 9.66897e-01 -1.37513e-03 -5.23934e-03 1.04535e+00 1.89623e+09 -3.24117e+07 -3.84023e+07 2.17822e+09 1.77953e+09 1.83366e+09 -4.27512e+07 2.27703e+09 1.22789e+09 3.42773e+01 5.20134e+00 1 9.53072e-01 2.35040e-03 0.00000e+00
9.89106e-01 -1.38670e-03 -1.38762e-03 1.01239e+00 9.98641e-01 1.38071e-02 9.88606e-01 1.79327e-03 -5.09509e-03 1.01594e+00 4.30346e+08 -3.01924e+07 -3.52861e+07 1.02615e+09 7.26797e+08 4.25622e+08 -3.50768e+07 1.04245e+09 7.12318e+08 4.76156e+01 3.39594e+00 2 2.92722e+00 1.28403e-03 0.00000e+00
9.50478e-01 -1.11543e-03 -1.10645e-03 1.05016e+00 1.00185e+00 6.27624e-02 9.47661e-01 -1.30020e-03 -1.04790e-03 1.05458e+00 -5.56980e+08 -1.04266e+07 -1.05978e+07 5.45079e+08 -1.02886e+08 -5.27817e+08 -1.04521e+07 5.74842e+08 -3.55683e+08 -5.95688e-01 5.64996e+00 9 1.02578e-01 2.76064e-03 0.00000e+00
9.52372e-01 -1.62451e-03 -1.68045e-03 1.04810e+00 1.00183e+00 6.06333e-02 9.49938e-01 -8.04511e-04 -2.85297e-03 1.05262e+00 -4.23795e+08 -1.92715e+07 -1.94015e+07 6.22106e+08 -1.24577e+07 -4.02523e+08 -2.00815e+07 6.54859e+08 -2.89708e+08 1.46657e-01 5.46674e+00 10 2.09095e-01 2.42403e-03 0.00000e+00
9.52774e-01 -1.55551e-03 -1.57359e-03 1.04777e+00 1.00171e+00 6.02496e-02 9.50812e-01 -6.20095e-04 -2.84440e-03 1.05262e+00 -2.31522e+08 -1.66101e+07 -1.72136e+07 7.67390e+08 1.40498e+08 -2.20085e+08 -1.79758e+07 8.07781e+08 -1.66203e+08 1.85627e+00 5.62310e+00 11 3.13744e-01 2.74510e-03 0.00000e+00
9.54984e-01 -2.15352e-03 -2.22532e-03 1.04544e+00 1.00163e+00 5.79243e-02 9.53760e-01 -1.23749e-03 -3.61906e-03 1.05057e+00 3.25643e+07 -2.64625e+07 -2.72053e+07 9.34642e+08 3.30647e+08 3.11569e+07 -2.86214e+07 9.81939e+08 -2.11535e+07 4.28152e+00 5.19713e+00 12 4.20432e-01 2.34823e-03 0.00000e+00
9.55598e-01 -2.06764e-03 -2.10755e-03 1.04499e+00 1.00142e+00 5.74418e-02 9.55145e-01 -1.06871e-03 -3.55789e-03 1.05057e+00 3.38091e+08 -2.29292e+07 -2.44217e+07 1.15720e+09 5.72247e+08 3.23013e+08 -2.60179e+07 1.21574e+09 1.77988e+08 8.61258e+00 5.51114e+00 13 5.25638e-01 2.62131e-03 0.00000e+00
9.58269e-01 -2.60860e-03 -2.70016e-03 1.04227e+00 1.00123e+00 5.48245e-02 9.58857e-01 -1.38456e-03 -4.56323e-03 1.04815e+00 6.99771e+08 -3.35122e+07 -3.57257e+07 1.37648e+09 8.33822e+08 6.71143e+08 -3.84146e+07 1.44280e+09 3.87526e+08 1.29232e+01 4.93282e+00 14 6.32769e-01 2.22862e-03 0.00000e+00
9.59047e-01 -2.50961e-03 -2.57335e-03 1.04178e+00 1.00089e+00 5.44159e-02 9.60605e-01 -1.22915e-03 -4.44932e-03 1.04814e+00 1.07888e+09 -2.84866e+07 -3.18260e+07 1.64518e+09 1.13713e+09 1.03651e+09 -3.46843e+07 1.72442e+09 6.50460e+08 1.97470e+01 5.37633e+00 15 7.38682e-01 2.49098e-03 0.00000e+00
