 Equivalent_Plastic_Strain   F:0   F:1   F:2   F:3   Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   p   sig:0   sig:1   sig:2   sig:3   velocity:0   velocity:1   vtkOriginalPointIds   Points:0   Points:1   Points:2 
4.21199e-02 9.58918e-01 3.37826e-02 -9.64869e-03 1.03378e+00 -1.94778e+09 1.31732e+08 1.94575e+08 -9.35558e+08 -1.39940e+09 -1.86963e+09 1.35347e+08 -9.62713e+08 -1.36586e+09 0.00000e+00 0.00000e+00 0 -9.45268e-04 1.18336e-03 0.00000e+00
6.44636e-02 9.40158e-01 -2.68128e-02 8.42432e-03 1.05795e+00 -1.55538e+09 -8.54304e+07 -1.17378e+08 -2.56204e+08 -8.57373e+08 -1.46330e+09 -8.24764e+07 -2.68761e+08 -8.40064e+08 0.00000e+00 2.66976e+02 4 -3.03132e-03 3.25938e+00 0.00000e+00
6.96327e-02 9.38308e-01 -1.19440e-03 -9.76919e-04 1.06731e+00 -4.12580e+08 -1.04226e+07 -1.03781e+07 8.23190e+08 2.43355e+08 -3.87117e+08 -1.05838e+07 8.78609e+08 2.38572e+08 0.00000e+00 1.14635e+02 5 -3.05807e-03 1.06152e+00 0.00000e+00
8.01112e-02 9.26163e-01 -1.52239e-02 5.57053e-03 1.07328e+00 -1.81917e+09 -3.95538e+07 -6.13934e+07 -2.80766e+08 -9.83730e+08 -1.68519e+09 -3.81972e+07 -3.00738e+08 -9.65264e+08 0.00000e+00 2.55439e+02 84 -4.12736e-03 3.14086e+00 0.00000e+00
1.06943e-01 9.05088e-01 -4.48948e-04 1.55040e-02 1.10070e+00 -1.63463e+09 7.60528e+07 6.45844e+07 1.92698e+08 -6.27782e+08 -1.47849e+09 7.18221e+07 2.12069e+08 -6.16927e+08 0.00000e+00 2.66474e+02 85 -5.72011e-03 3.02020e+00 0.00000e+00
1.40389e-01 8.78589e-01 7.86422e-03 1.09958e-02 1.13491e+00 -1.75089e+09 8.28779e+07 8.08934e+07 4.74899e+08 -4.94887e+08 -1.53743e+09 7.80375e+07 5.39620e+08 -4.86856e+08 0.00000e+00 2.79498e+02 86 -7.57280e-03 2.89606e+00 0.00000e+00
1.51201e-01 8.67603e-01 4.86472e-03 -1.03889e-05 1.14355e+00 -2.79837e+09 1.92904e+07 2.65416e+07 -1.93011e+08 -1.31375e+09 -2.42787e+09 1.67384e+07 -2.20624e+08 -1.29275e+09 0.00000e+00 3.02178e+02 87 -8.33700e-03 2.76969e+00 0.00000e+00
1.55594e-01 8.65359e-01 1.44545e-03 2.25509e-03 1.14973e+00 -2.29276e+09 1.68821e+07 1.60567e+07 2.38446e+08 -8.48184e+08 -1.98402e+09 1.51468e+07 2.74173e+08 -8.34702e+08 0.00000e+00 2.80127e+02 88 -8.58239e-03 2.64209e+00 0.00000e+00
1.50782e-01 8.69060e-01 -1.06546e-03 -5.95700e-03 1.14457e+00 -2.29485e+09 -3.41263e+07 -2.89926e+07 1.81501e+08 -8.86121e+08 -1.99419e+09 -3.07390e+07 2.07778e+08 -8.71948e+08 0.00000e+00 2.76491e+02 89 -8.28033e-03 2.51462e+00 0.00000e+00
1.39459e-01 8.78733e-01 -2.73703e-03 -3.71562e-03 1.13389e+00 -1.87274e+09 -2.87924e+07 -2.80645e+07 3.75562e+08 -6.04890e+08 -1.64553e+09 -2.66963e+07 4.25925e+08 -5.95059e+08 0.00000e+00 2.60732e+02 90 -7.58806e-03 2.38790e+00 0.00000e+00
1.24974e-01 8.87641e-01 -3.33283e-03 -5.19227e-03 1.11564e+00 -2.92383e+09 -4.47072e+07 -4.14174e+07 -6.20507e+08 -1.63003e+09 -2.59509e+09 -3.64621e+07 -6.92112e+08 -1.60290e+09 0.00000e+00 2.73870e+02 91 -6.89283e-03 2.26304e+00 0.00000e+00
1.14664e-01 8.97157e-01 -3.58991e-03 -4.32336e-03 1.10683e+00 -2.31422e+09 -3.91658e+07 -3.82223e+07 -2.63745e+08 -1.17394e+09 -2.07605e+09 -3.39976e+07 -2.91779e+08 -1.15399e+09 0.00000e+00 2.33071e+02 92 -6.18274e-03 2.13924e+00 0.00000e+00
1.05303e-01 9.05084e-01 -2.97889e-03 -3.60443e-03 1.09792e+00 -2.09947e+09 -3.27191e+07 -3.19998e+07 -2.03710e+08 -1.05269e+09 -1.90009e+09 -2.88793e+07 -2.23561e+08 -1.03441e+09 0.00000e+00 2.20091e+02 93 -5.59685e-03 2.01666e+00 0.00000e+00
9.52417e-02 9.11709e-01 -2.74556e-03 -3.01980e-03 1.08599e+00 -2.69157e+09 -3.11454e+07 -3.06629e+07 -8.23197e+08 -1.65907e+09 -2.45383e+09 -2.59096e+07 -8.93896e+08 -1.62948e+09 0.00000e+00 2.14176e+02 94 -5.08994e-03 1.89528e+00 0.00000e+00
8.91724e-02 9.17452e-01 -2.57611e-03 -2.72355e-03 1.08094e+00 -2.33879e+09 -2.81851e+07 -2.79678e+07 -6.06505e+08 -1.38798e+09 -2.14565e+09 -2.42066e+07 -6.55525e+08 -1.36275e+09 0.00000e+00 2.13225e+02 95 -4.64540e-03 1.77489e+00 0.00000e+00
8.34503e-02 9.22602e-01 -2.47258e-03 -2.42601e-03 1.07585e+00 -2.13114e+09 -2.59789e+07 -2.60403e+07 -5.03783e+08 -1.24251e+09 -1.96613e+09 -2.27460e+07 -5.41929e+08 -1.21948e+09 0.00000e+00 1.76588e+02 96 -4.25509e-03 1.65478e+00 0.00000e+00
7.97540e-02 9.26815e-01 -1.82979e-03 -1.78759e-03 1.07364e+00 -1.64455e+09 -1.86102e+07 -1.86476e+07 -1.32332e+08 -8.25345e+08 -1.52416e+09 -1.70116e+07 -1.42042e+08 -8.09831e+08 0.00000e+00 1.81304e+02 97 -3.94168e-03 1.53540e+00 0.00000e+00
7.14577e-02 9.30335e-01 -1.94121e-03 -1.73201e-03 1.06149e+00 -2.95912e+09 -2.18382e+07 -2.22943e+07 -1.38334e+09 -2.09029e+09 -2.75293e+09 -1.79209e+07 -1.46836e+09 -2.04957e+09 0.00000e+00 1.56811e+02 98 -3.66604e-03 1.41659e+00 0.00000e+00
7.44055e-02 9.33432e-01 -1.55957e-03 -1.36504e-03 1.07095e+00 -7.70114e+08 -1.41556e+07 -1.41758e+07 5.62019e+08 -5.79015e+07 -7.18830e+08 -1.39805e+07 6.01914e+08 -5.67886e+07 0.00000e+00 1.32123e+02 99 -3.42877e-03 1.29793e+00 0.00000e+00
6.58315e-02 9.36064e-01 -1.58865e-03 -1.26723e-03 1.05730e+00 -2.51464e+09 -1.67007e+07 -1.72791e+07 -1.07221e+09 -1.72643e+09 -2.35385e+09 -1.42742e+07 -1.13361e+09 -1.69184e+09 0.00000e+00 1.20669e+02 100 -3.23944e-03 1.17960e+00 0.00000e+00
6.35532e-02 9.40329e-01 -1.44414e-03 -1.04385e-03 1.05787e+00 -1.57875e+09 -1.36269e+07 -1.39980e+07 -2.73648e+08 -8.78090e+08 -1.48453e+09 -1.25282e+07 -2.89465e+08 -8.60271e+08 0.00000e+00 8.69604e+01 101 -2.91700e-03 9.43237e-01 0.00000e+00
6.66619e-02 9.41971e-01 -6.83956e-04 -5.98688e-04 1.06573e+00 3.96492e+07 -5.98964e+06 -5.93740e+06 1.19046e+09 6.46581e+08 3.73520e+07 -6.35479e+06 1.26871e+09 6.33681e+08 0.00000e+00 7.99636e+01 102 -2.78313e-03 8.25209e-01 0.00000e+00
5.92899e-02 9.43127e-01 -1.03152e-03 -5.56832e-04 1.05285e+00 -1.86627e+09 -8.99174e+06 -9.57439e+06 -5.83677e+08 -1.17509e+09 -1.76012e+09 -8.15534e+06 -6.14518e+08 -1.15062e+09 0.00000e+00 7.30485e+01 103 -2.70430e-03 7.07451e-01 0.00000e+00
6.41498e-02 9.44206e-01 -2.04051e-04 -5.22361e-04 1.06342e+00 9.08891e+07 -3.31041e+06 -3.51688e+06 1.21135e+09 6.80122e+08 8.58199e+07 -3.75848e+06 1.28818e+09 6.66367e+08 0.00000e+00 3.44027e+01 104 -2.61248e-03 5.89583e-01 0.00000e+00
5.81853e-02 9.43909e-01 9.17489e-06 8.19916e-04 1.05162e+00 -1.91859e+09 5.42273e+06 4.38126e+06 -6.44854e+08 -1.23165e+09 -1.81097e+09 4.58983e+06 -6.78144e+08 -1.20582e+09 0.00000e+00 6.04805e+01 105 -2.64875e-03 4.72278e-01 0.00000e+00
