 velocity:0   velocity:1   Piola:0   Piola:1   Piola:2   Piola:3   epeq   F:0   F:1   F:2   F:3   vtkOriginalPointIds   Points:0   Points:1   Points:2 
0.00000e+00 0.00000e+00 -7.45275e+09 4.06932e+07 4.29863e+07 -7.09331e+09 2.90609e-02 9.57591e-01 5.15063e-04 -2.85341e-05 1.00052e+00 0 -8.87733e-04 1.79200e-05 0.00000e+00
7.54405e+00 0.00000e+00 -7.45559e+09 -4.97902e+06 -4.74018e+06 -7.11699e+09 2.91447e-02 9.57892e-01 -2.63544e-05 -3.15750e-05 1.00020e+00 1 9.58007e-01 2.07929e-05 0.00000e+00
-1.78187e+02 0.00000e+00 -1.63834e+08 -4.04238e+03 -4.04299e+03 -7.01656e+07 0.00000e+00 9.99392e-01 -2.88644e-08 -2.36186e-08 1.00000e+00 2 2.89976e+00 3.73918e-09 0.00000e+00
-4.17350e+00 0.00000e+00 -7.25354e+09 -1.00874e+07 -9.69111e+06 -6.71617e+09 2.76883e-02 9.58803e-01 -5.88290e-05 -5.92634e-05 1.00097e+00 9 1.06715e-01 2.85267e-05 0.00000e+00
-4.52435e+00 0.00000e+00 -7.25026e+09 -8.14025e+06 -7.89363e+06 -6.93767e+09 3.20715e-02 9.58112e-01 -5.37414e-05 -4.15851e-05 1.00086e+00 10 2.13202e-01 2.41905e-05 0.00000e+00
7.22710e+00 0.00000e+00 -7.71797e+09 -7.67817e+06 -7.63169e+06 -7.16171e+09 2.91619e-02 9.56568e-01 -6.30680e-05 -2.71007e-05 1.00074e+00 11 3.19702e-01 2.90318e-05 0.00000e+00
8.30538e+00 0.00000e+00 -7.78022e+09 -7.94331e+06 -7.83308e+06 -7.15009e+09 3.24063e-02 9.56655e-01 -6.05862e-05 -3.25117e-05 1.00062e+00 12 4.26001e-01 3.21106e-05 0.00000e+00
-8.44813e+00 0.00000e+00 -6.97666e+09 -7.39707e+06 -7.22978e+06 -6.89713e+09 2.97989e-02 9.59209e-01 -5.31734e-05 -3.37649e-05 1.00050e+00 13 5.32260e-01 3.33377e-05 0.00000e+00
-1.62334e+01 0.00000e+00 -6.69820e+09 -6.77547e+06 -6.56446e+06 -6.74249e+09 3.15674e-02 9.60425e-01 -4.44140e-05 -3.52531e-05 1.00041e+00 14 6.38820e-01 3.23228e-05 0.00000e+00
2.19091e+00 0.00000e+00 -7.77043e+09 -6.19050e+06 -5.95020e+06 -7.21020e+09 2.97732e-02 9.56814e-01 -3.66089e-05 -3.54342e-05 1.00033e+00 15 7.45533e-01 2.94850e-05 0.00000e+00
1.94897e+01 0.00000e+00 -8.53634e+09 -5.64238e+06 -5.38908e+06 -7.51816e+09 3.07172e-02 9.54362e-01 -3.08698e-05 -3.43062e-05 1.00026e+00 16 8.51896e-01 2.54249e-05 0.00000e+00
-2.20447e+01 0.00000e+00 -6.24111e+09 -4.21238e+06 -4.00016e+06 -6.63979e+09 2.97767e-02 9.61971e-01 -2.15408e-05 -2.79907e-05 1.00015e+00 17 1.06435e+00 1.62731e-05 0.00000e+00
-2.12486e+01 0.00000e+00 -6.84106e+09 -3.49009e+06 -3.30254e+06 -6.86402e+09 2.85695e-02 9.60074e-01 -1.69198e-05 -2.38293e-05 1.00011e+00 18 1.17114e+00 1.23707e-05 0.00000e+00
1.17094e+01 0.00000e+00 -8.34461e+09 -2.85749e+06 -2.69590e+06 -7.48915e+09 2.89436e-02 9.55034e-01 -1.35983e-05 -1.95413e-05 1.00008e+00 19 1.27788e+00 9.15982e-06 0.00000e+00
2.66037e+01 0.00000e+00 -8.56824e+09 -2.28302e+06 -2.15545e+06 -7.52553e+09 2.82381e-02 9.54527e-01 -1.08367e-05 -1.54770e-05 1.00006e+00 20 1.38413e+00 6.60209e-06 0.00000e+00
-3.41852e-02 0.00000e+00 -7.25938e+09 -1.69866e+06 -1.60887e+06 -7.02509e+09 2.83593e-02 9.58798e-01 -8.38254e-06 -1.14705e-05 1.00004e+00 21 1.49014e+00 4.57769e-06 0.00000e+00
-2.36957e+01 0.00000e+00 -6.28766e+09 -1.19557e+06 -1.13787e+06 -6.56978e+09 2.78773e-02 9.62313e-01 -6.32673e-06 -7.97513e-06 1.00003e+00 22 1.59662e+00 2.96974e-06 0.00000e+00
-1.37731e+01 0.00000e+00 -7.08453e+09 -7.75106e+05 -7.39376e+05 -6.91583e+09 2.80404e-02 9.59561e-01 -4.44279e-06 -5.18379e-06 1.00002e+00 23 1.70349e+00 1.78273e-06 0.00000e+00
1.34166e+01 0.00000e+00 -8.35235e+09 -3.85153e+05 -3.69010e+05 -7.36315e+09 2.76095e-02 9.55591e-01 -2.76337e-06 -3.00369e-06 1.00001e+00 24 1.81018e+00 9.60615e-07 0.00000e+00
1.62295e+01 0.00000e+00 -8.27022e+09 -1.15251e+05 -1.10556e+05 -7.23844e+09 2.69497e-02 9.56213e-01 -1.40248e-06 -1.55377e-06 1.00000e+00 25 1.91642e+00 4.56263e-07 0.00000e+00
-9.77168e+00 0.00000e+00 -6.78975e+09 -3.87609e+04 -3.69941e+04 -5.92591e+09 2.18502e-02 9.63874e-01 -5.99864e-07 -7.49147e-07 1.00000e+00 26 2.02281e+00 2.09631e-07 0.00000e+00
-5.89684e+01 0.00000e+00 -5.11633e+09 -1.61450e+04 -1.54393e+04 -4.41702e+09 1.59894e-02 9.72755e-01 -2.64028e-07 -3.66016e-07 1.00000e+00 27 2.12988e+00 1.05784e-07 0.00000e+00
-1.00853e+02 0.00000e+00 -3.38226e+09 -8.50746e+03 -8.23181e+03 -2.82408e+09 9.80284e-03 9.82219e-01 -1.26264e-07 -1.95260e-07 1.00000e+00 28 2.23804e+00 6.01791e-08 0.00000e+00
-1.37113e+02 0.00000e+00 -2.25889e+09 -5.75228e+03 -5.63052e+03 -1.77559e+09 5.73085e-03 9.88498e-01 -6.91276e-08 -1.19258e-07 1.00000e+00 29 2.34713e+00 3.81595e-08 0.00000e+00
-1.58128e+02 0.00000e+00 -1.45806e+09 -5.08661e+03 -5.03294e+03 -1.01995e+09 2.79622e-03 9.93048e-01 -4.44271e-08 -8.14638e-08 1.00000e+00 30 2.45699e+00 2.59990e-08 0.00000e+00
-1.71067e+02 0.00000e+00 -1.03492e+09 -4.77553e+03 -4.75102e+03 -6.17887e+08 1.23471e-03 9.95478e-01 -3.19757e-08 -5.82688e-08 1.00000e+00 31 2.56733e+00 1.81498e-08 0.00000e+00
-1.75806e+02 0.00000e+00 -7.60823e+08 -4.44761e+03 -4.43805e+03 -3.56388e+08 2.19123e-04 9.97061e-01 -2.35953e-08 -4.05223e-08 1.00000e+00 32 2.67797e+00 1.25579e-08 0.00000e+00
-1.77326e+02 0.00000e+00 -5.12399e+08 -3.43568e+03 -3.43135e+03 -2.19167e+08 0.00000e+00 9.98102e-01 -1.63191e-08 -2.81263e-08 1.00000e+00 33 2.78880e+00 8.85936e-09 0.00000e+00
