 mpm_eps11   mpm_epsp21   mpm_eps12   mpm_epsp11   mpm_V2   mpm_epsp22   mpm_S22   mpm_eps22   mpm_S12   epeq   mpm_V1   mpm_S11   vtkOriginalPointIds   Points:0   Points:1   Points:2 
3.95073e-03 -8.46058e-05 -2.21302e-04 1.06694e-03 -3.06533e-01 -6.23483e-04 4.24996e+08 -4.70889e-04 -1.05151e+07 1.07310e-03 -2.24330e+01 8.45180e+08 0 0.00000e+00 0.00000e+00 0.00000e+00
2.94303e-03 2.91904e-05 1.77623e-04 3.39239e-04 -1.77410e+00 -1.94823e-04 2.86973e+08 -3.06727e-04 1.14179e+07 3.40902e-04 -1.80789e+01 7.04773e+08 1 1.00000e+00 0.00000e+00 0.00000e+00
2.14454e-06 0.00000e+00 3.15347e-09 0.00000e+00 -1.81960e-05 0.00000e+00 2.46710e+05 -2.73530e-09 2.42574e+02 0.00000e+00 1.14244e-04 5.77060e+05 2 3.00000e+00 0.00000e+00 0.00000e+00
3.96582e-03 -7.90747e-05 -2.07488e-04 1.06242e-03 -6.40015e-01 -6.13459e-04 4.35767e+08 -4.31621e-04 -9.87799e+06 1.06764e-03 -1.82820e+01 8.54469e+08 9 1.11111e-01 0.00000e+00 0.00000e+00
2.97140e-03 -2.53074e-05 -1.30845e-04 4.12342e-04 -1.09804e+00 -2.49969e-04 2.59379e+08 -4.52890e-04 -8.11827e+06 4.15689e-04 -1.80691e+01 6.84300e+08 10 2.22222e-01 0.00000e+00 0.00000e+00
3.04606e-03 -2.20715e-05 -1.02732e-04 4.70473e-04 -1.75409e+00 -2.86514e-04 2.67032e+08 -4.77344e-04 -6.20467e+06 4.74355e-04 -1.91957e+01 6.92635e+08 11 3.33333e-01 0.00000e+00 0.00000e+00
4.12796e-03 -1.79743e-05 -4.42561e-05 1.18071e-03 -2.20973e+00 -6.84883e-04 4.56348e+08 -4.65480e-04 -2.02168e+06 1.18579e-03 -1.90306e+01 8.76017e+08 12 4.44444e-01 0.00000e+00 0.00000e+00
4.09662e-03 4.59047e-06 1.14328e-05 1.15830e-03 -2.48721e+00 -6.71729e-04 4.51877e+08 -4.61141e-04 5.26331e+05 1.16323e-03 -1.95520e+01 8.71529e+08 13 5.55556e-01 0.00000e+00 0.00000e+00
2.90512e-03 1.71418e-05 9.62979e-05 3.72239e-04 -2.49854e+00 -2.27343e-04 2.45484e+08 -4.63163e-04 6.08893e+06 3.75400e-04 -1.92874e+01 6.71439e+08 14 6.66667e-01 0.00000e+00 0.00000e+00
2.84827e-03 2.57281e-05 1.60408e-04 3.28259e-04 -2.36983e+00 -1.99679e-04 2.40023e+08 -4.43277e-04 1.03600e+07 3.31149e-04 -1.43229e+01 6.65194e+08 15 7.77778e-01 0.00000e+00 0.00000e+00
2.99210e-03 3.55891e-05 1.88059e-04 4.01893e-04 -2.11314e+00 -2.37547e-04 2.77648e+08 -3.86807e-04 1.17285e+07 4.04631e-04 -1.40750e+01 6.99105e+08 16 8.88889e-01 0.00000e+00 0.00000e+00
3.81824e-03 5.10313e-05 1.50157e-04 8.90938e-04 -1.38437e+00 -4.84230e-04 4.53651e+08 -2.28103e-04 7.62502e+06 8.92548e-04 -1.81615e+01 8.64602e+08 17 1.11111e+00 0.00000e+00 0.00000e+00
3.81011e-03 3.95173e-05 1.18950e-04 8.61652e-04 -9.88873e-01 -4.57524e-04 4.66744e+08 -1.60724e-04 6.11023e+06 8.62505e-04 -2.03707e+01 8.74691e+08 18 1.22222e+00 0.00000e+00 0.00000e+00
