 stress_11   strain_11   velocity_x   strain_21   strain_22   epsp_11   epsp_21   epsp_22   velocity_y   stress_21   stress_22   epeq   vtkOriginalPointIds   Points:0   Points:1   Points:2 
7.80436e+08 3.71237e-03 -1.99984e+01 4.20748e-05 -6.07701e-04 9.68030e-04 4.81411e-06 -5.38023e-04 -1.27455e-01 2.86621e+06 3.47511e+08 9.71742e-04 0 0.00000e+00 0.00000e+00 0.00000e+00
6.40250e+08 3.05667e-03 -1.54309e+01 1.95634e-04 -7.78978e-04 6.03322e-04 4.26992e-05 -3.81890e-04 -4.88371e-01 1.17642e+07 2.01721e+08 6.11297e-04 1 1.00000e+00 0.00000e+00 0.00000e+00
5.53878e+07 2.07694e-04 -3.51536e-01 4.54913e-06 -4.59271e-06 0.00000e+00 0.00000e+00 0.00000e+00 -1.64673e-02 3.49933e+05 2.27282e+07 0.00000e+00 2 3.00000e+00 0.00000e+00 0.00000e+00
7.76573e+08 3.68926e-03 -1.98724e+01 4.39587e-05 -6.07749e-04 9.52659e-04 4.86123e-06 -5.30360e-04 -1.48890e-01 3.00750e+06 3.43652e+08 9.56362e-04 9 1.11111e-01 0.00000e+00 0.00000e+00
7.47327e+08 3.78917e-03 -1.93346e+01 7.85621e-05 -8.66492e-04 1.12355e-03 1.77355e-05 -6.66260e-04 -2.70750e-01 4.67897e+06 3.06427e+08 1.13292e-03 10 2.22222e-01 0.00000e+00 0.00000e+00
7.42907e+08 3.76264e-03 -1.91163e+01 8.15034e-05 -8.66525e-04 1.10582e-03 1.86621e-05 -6.57738e-04 -2.85356e-01 4.83395e+06 3.02046e+08 1.11515e-03 11 3.33333e-01 0.00000e+00 0.00000e+00
7.12943e+08 3.70484e-03 -1.83308e+01 1.39767e-04 -9.80369e-04 1.11407e-03 3.96827e-05 -6.88473e-04 -3.82666e-01 7.69882e+06 2.69455e+08 1.12719e-03 12 4.44444e-01 0.00000e+00 0.00000e+00
7.08180e+08 3.67622e-03 -1.80466e+01 1.43142e-04 -9.80398e-04 1.09492e-03 4.08366e-05 -6.79369e-04 -3.95269e-01 7.86965e+06 2.64744e+08 1.10808e-03 13 5.55556e-01 0.00000e+00 0.00000e+00
6.78526e+08 3.45120e-03 -1.70964e+01 1.84809e-04 -9.35224e-04 9.27758e-04 5.09996e-05 -5.83568e-04 -4.65686e-01 1.02931e+07 2.36204e+08 9.39933e-04 14 6.66667e-01 0.00000e+00 0.00000e+00
6.73522e+08 3.42120e-03 -1.67729e+01 1.87468e-04 -9.35230e-04 9.07781e-04 5.15653e-05 -5.73746e-04 -4.70133e-01 1.04540e+07 2.31230e+08 9.20058e-04 15 7.77778e-01 0.00000e+00 0.00000e+00
6.45489e+08 3.08794e-03 -1.57568e+01 1.94507e-04 -7.79005e-04 6.23970e-04 4.31120e-05 -3.92848e-04 -4.95793e-01 1.16458e+07 2.07007e+08 6.31895e-04 16 8.88889e-01 0.00000e+00 0.00000e+00
6.15858e+08 2.70056e-03 -1.44693e+01 1.73158e-04 -5.80337e-04 2.87650e-04 2.23059e-05 -1.79600e-04 -4.68913e-01 1.16040e+07 1.82989e+08 2.90949e-04 17 1.11111e+00 0.00000e+00 0.00000e+00
6.11454e+08 2.67431e-03 -1.41631e+01 1.72603e-04 -5.80287e-04 2.70377e-04 2.13185e-05 -1.69831e-04 -4.51267e-01 1.16373e+07 1.78471e+08 2.73643e-04 18 1.22222e+00 0.00000e+00 0.00000e+00
