 PK2:0   PK2:1   PK2:2   PK2:3   PK2:4   Logarithmic_strain_components:0   Logarithmic_strain_components:1   Logarithmic_strain_components:2   Logarithmic_strain_components:3   Logarithmic_strain_components:4   Spatial_displacement:0   Spatial_displacement:1   Spatial_acceleration:0   Spatial_acceleration:1   Spatial_velocity:0   Spatial_velocity:1   Reaction_force:0   Reaction_force:1   Stress_Mises   Stress_Max_Principal   Stress_Mid_Principal   Stress_Min_Principal   Stress_Pressure   Stress_Tresca   Stress_Third_Invariant   Logarithmic_strain_Max_Principal   Logarithmic_strain_Min_Principal   vtkOriginalPointIds   Points:0   Points:1   Points:2 
5.72034e+10 -7.14582e+07 -7.14582e+07 2.69075e+10 2.80547e+10 2.12954e-01 -1.05439e-03 -1.05439e-03 -1.05592e-02 0.00000e+00 -1.02000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -1.00000e+03 0.00000e+00 -3.14184e+09 -1.85260e+09 2.97391e+10 5.72035e+10 2.80547e+10 2.69074e+10 -3.73885e+10 3.02962e+10 2.96893e+10 2.12955e-01 -1.05605e-02 0 -1.02000e+00 0.00000e+00 0.00000e+00
5.83147e+10 -1.47239e+08 -1.47239e+08 2.67031e+10 2.82700e+10 2.18778e-01 -2.17407e-03 -2.17407e-03 -1.45534e-02 0.00000e+00 -9.93760e-01 0.00000e+00 2.10894e+06 0.00000e+00 -9.51875e+02 0.00000e+00 0.00000e+00 -3.69726e+09 3.08609e+10 5.83155e+10 2.82700e+10 2.67023e+10 -3.77626e+10 3.16133e+10 3.07662e+10 2.18784e-01 -1.45596e-02 1 -8.82649e-01 0.00000e+00 0.00000e+00
5.95267e+10 -2.50822e+08 -2.50822e+08 2.49666e+10 2.77374e+10 2.28409e-01 -3.69076e-03 -3.69076e-03 -2.59143e-02 0.00000e+00 -9.65893e-01 0.00000e+00 -5.41773e+05 0.00000e+00 -9.09578e+02 0.00000e+00 0.00000e+00 -3.48999e+09 3.32694e+10 5.95285e+10 2.77374e+10 2.49648e+10 -3.74102e+10 3.45638e+10 3.29919e+10 2.28422e-01 -2.59277e-02 4 -7.43671e-01 0.00000e+00 0.00000e+00
6.22770e+10 -2.75453e+08 -2.75453e+08 2.29206e+10 2.74107e+10 2.45991e-01 -4.04341e-03 -4.04341e-03 -4.28820e-02 0.00000e+00 -9.37013e-01 0.00000e+00 5.08926e+06 0.00000e+00 -8.36610e+02 0.00000e+00 0.00000e+00 -3.26036e+09 3.73213e+10 6.22789e+10 2.74107e+10 2.29187e+10 -3.75361e+10 3.93603e+10 3.66939e+10 2.46005e-01 -4.28963e-02 6 -6.03680e-01 0.00000e+00 0.00000e+00
6.61148e+10 -2.33289e+08 -2.33289e+08 2.07617e+10 2.72336e+10 2.68727e-01 -3.41698e-03 -3.41698e-03 -6.31628e-02 0.00000e+00 -9.04169e-01 0.00000e+00 1.84174e+06 0.00000e+00 -7.45302e+02 0.00000e+00 0.00000e+00 -3.02038e+09 4.24946e+10 6.61160e+10 2.72336e+10 2.07604e+10 -3.80367e+10 4.53556e+10 4.13498e+10 2.68737e-01 -6.31721e-02 8 -4.59724e-01 0.00000e+00 0.00000e+00
7.02270e+10 -1.37105e+08 -1.37105e+08 1.85109e+10 2.69494e+10 2.92634e-01 -2.00004e-03 -2.00004e-03 -8.45124e-02 0.00000e+00 -8.68749e-01 0.00000e+00 5.83142e+06 0.00000e+00 -6.48759e+02 0.00000e+00 0.00000e+00 -2.75773e+09 4.80576e+10 7.02275e+10 2.69494e+10 1.85104e+10 -3.85624e+10 5.17171e+10 4.63428e+10 2.92637e-01 -8.45156e-02 10 -3.13193e-01 0.00000e+00 0.00000e+00
7.48328e+10 -2.47680e+07 -2.47680e+07 1.66585e+10 2.68913e+10 3.17696e-01 -3.62340e-04 -3.62340e-04 -1.05197e-01 0.00000e+00 -8.28823e-01 0.00000e+00 3.40908e+06 0.00000e+00 -5.10448e+02 0.00000e+00 0.00000e+00 -2.54277e+09 5.37940e+10 7.48328e+10 2.68913e+10 1.66584e+10 -3.94609e+10 5.81744e+10 5.15319e+10 3.17697e-01 -1.05198e-01 12 -1.62156e-01 0.00000e+00 0.00000e+00
7.78570e+10 8.34878e+07 8.34878e+07 1.41519e+10 2.60329e+10 3.36186e-01 1.20460e-03 1.20460e-03 -1.24239e-01 0.00000e+00 -7.85798e-01 0.00000e+00 3.06216e+06 0.00000e+00 -4.32541e+02 0.00000e+00 0.00000e+00 -2.20149e+09 5.86747e+10 7.78572e+10 2.60329e+10 1.41518e+10 -3.93473e+10 6.37054e+10 5.58690e+10 3.36187e-01 -1.24240e-01 14 -8.01992e-03 0.00000e+00 0.00000e+00
7.87461e+10 1.90766e+08 1.90766e+08 1.07745e+10 2.42110e+10 3.45948e-01 2.72936e-03 2.72936e-03 -1.41019e-01 0.00000e+00 -7.40126e-01 0.00000e+00 -2.88709e+05 0.00000e+00 -3.44930e+02 0.00000e+00 0.00000e+00 -1.69389e+09 6.23512e+10 7.87466e+10 2.42110e+10 1.07739e+10 -3.79105e+10 6.79727e+10 5.89546e+10 3.45952e-01 -1.41023e-01 16 1.48763e-01 0.00000e+00 0.00000e+00
7.60025e+10 3.15348e+08 3.15348e+08 5.78952e+09 2.08078e+10 3.41396e-01 4.44965e-03 4.44965e-03 -1.54822e-01 0.00000e+00 -6.93996e-01 0.00000e+00 -3.46948e+06 0.00000e+00 -3.91824e+02 0.00000e+00 0.00000e+00 -9.10951e+08 6.40442e+10 7.60040e+10 2.08078e+10 5.78804e+09 -3.42000e+10 7.02160e+10 5.98736e+10 3.41406e-01 -1.54832e-01 18 3.06004e-01 0.00000e+00 0.00000e+00
