 mpm_eps11   mpm_eps12   mpm_S22   mpm_eps22   mpm_S12   mpm_V2   mpm_V1   mpm_S11   vtkOriginalPointIds   Points:0   Points:1   Points:2 
9.22313e-04 -1.59067e-07 1.01901e+08 -1.67873e-05 -1.22359e+04 -2.50448e-02 -1.96786e+00 2.46378e+08 0 0.00000e+00 0.00000e+00 0.00000e+00
1.88510e-03 1.40918e-04 1.45629e+08 -2.66994e-04 1.08398e+07 -1.75826e+00 1.31043e+00 4.76721e+08 1 1.00000e+00 0.00000e+00 0.00000e+00
1.50063e-03 2.15435e-04 4.66134e+07 -4.69992e-04 1.65719e+07 -2.20861e+00 1.25828e-01 3.49786e+08 2 3.00000e+00 0.00000e+00 0.00000e+00
1.01667e-03 -1.21756e-04 5.67829e+07 -2.24807e-04 -9.36585e+06 -3.63471e-01 -2.25070e+00 2.47779e+08 9 1.11111e-01 0.00000e+00 0.00000e+00
1.03974e-03 -2.98486e-04 8.08138e+07 -1.45437e-04 -2.29605e+07 -1.09912e+00 -2.12572e+00 2.63148e+08 10 2.22222e-01 0.00000e+00 0.00000e+00
1.07711e-03 -1.15559e-04 1.13368e+08 -4.05373e-05 -8.88917e+06 -1.05026e+00 -8.81399e-03 2.85314e+08 11 3.33333e-01 0.00000e+00 0.00000e+00
1.57531e-03 9.08155e-05 1.35587e+08 -1.71521e-04 6.98581e+06 -9.27418e-01 8.07510e-02 4.04330e+08 12 4.44444e-01 0.00000e+00 0.00000e+00
1.57600e-03 -1.76685e-05 1.27819e+08 -2.00672e-04 -1.35911e+06 -1.38818e+00 7.01276e-01 4.01154e+08 13 5.55556e-01 0.00000e+00 0.00000e+00
1.64366e-03 8.29581e-05 1.43808e+08 -1.70282e-04 6.38139e+06 -1.37827e+00 7.27082e-01 4.22876e+08 14 6.66667e-01 0.00000e+00 0.00000e+00
1.66728e-03 1.72407e-04 1.29426e+08 -2.33825e-04 1.32621e+07 -1.31880e+00 2.75111e+00 4.21904e+08 15 7.77778e-01 0.00000e+00 0.00000e+00
1.88959e-03 9.45809e-05 1.51848e+08 -2.45816e-04 7.27546e+06 -1.67815e+00 2.70827e+00 4.80372e+08 16 8.88889e-01 0.00000e+00 0.00000e+00
1.67974e-03 1.69235e-04 1.11815e+08 -3.04578e-04 1.30180e+07 -1.77464e+00 1.38001e+00 4.17095e+08 17 1.11111e+00 0.00000e+00 0.00000e+00
1.60842e-03 1.04724e-04 1.02586e+08 -3.08289e-04 8.05567e+06 -1.96986e+00 9.57462e-01 3.97464e+08 18 1.22222e+00 0.00000e+00 0.00000e+00
1.42024e-03 1.28337e-04 7.26010e+07 -3.39014e-04 9.87211e+06 -1.97622e+00 1.29059e+00 3.43256e+08 19 1.33333e+00 0.00000e+00 0.00000e+00
1.35936e-03 1.16256e-04 6.25577e+07 -3.50228e-04 8.94275e+06 -2.02667e+00 -6.39648e-01 3.25572e+08 20 1.44444e+00 0.00000e+00 0.00000e+00
1.38307e-03 1.14480e-04 6.65308e+07 -3.45629e-04 8.80616e+06 -2.04536e+00 -7.83093e-01 3.32484e+08 21 1.55556e+00 0.00000e+00 0.00000e+00
1.42411e-03 9.62243e-05 6.67216e+07 -3.62509e-04 7.40187e+06 -2.13797e+00 1.07827e+00 3.41586e+08 22 1.66667e+00 0.00000e+00 0.00000e+00
1.45323e-03 8.64812e-05 6.74034e+07 -3.72458e-04 6.65240e+06 -2.19570e+00 6.26004e-01 3.48279e+08 23 1.77778e+00 0.00000e+00 0.00000e+00
1.42043e-03 7.60008e-05 6.09591e+07 -3.82335e-04 5.84621e+06 -2.25382e+00 1.48864e+00 3.38307e+08 24 1.88889e+00 0.00000e+00 0.00000e+00
1.71869e-03 6.10983e-05 9.04646e+07 -4.00568e-04 4.69987e+06 -2.35341e+00 1.47656e+00 4.16504e+08 25 2.00000e+00 0.00000e+00 0.00000e+00
1.67633e-03 6.00510e-05 8.16679e+07 -4.15088e-04 4.61930e+06 -2.41639e+00 -1.69430e-01 4.03424e+08 26 2.11111e+00 0.00000e+00 0.00000e+00
1.33966e-03 5.56493e-05 4.00606e+07 -4.25342e-04 4.28072e+06 -2.46960e+00 -3.82417e-01 3.11599e+08 27 2.22222e+00 0.00000e+00 0.00000e+00
1.37427e-03 5.79061e-05 4.10849e+07 -4.36372e-04 4.45431e+06 -2.52219e+00 2.96266e-03 3.19645e+08 28 2.33333e+00 0.00000e+00 0.00000e+00
1.39072e-03 7.48151e-05 4.18651e+07 -4.40524e-04 5.75501e+06 -2.61831e+00 -7.85049e-02 3.23595e+08 29 2.44444e+00 0.00000e+00 0.00000e+00
1.42383e-03 1.08705e-05 4.53089e+07 -4.41924e-04 8.36191e+05 -2.52932e+00 1.31417e-01 3.32349e+08 30 2.55556e+00 0.00000e+00 0.00000e+00
1.80279e-03 1.26153e-04 8.74046e+07 -4.47980e-04 9.70404e+06 -2.86385e+00 3.08134e-01 4.33677e+08 31 2.66667e+00 0.00000e+00 0.00000e+00
1.78781e-03 -1.20735e-04 1.00023e+08 -3.94692e-04 -9.28727e+06 -2.35230e+00 6.01713e-01 4.35793e+08 32 2.77778e+00 0.00000e+00 0.00000e+00
1.53861e-03 8.68900e-05 7.87998e+07 -3.66720e-04 6.68384e+06 -2.89099e+00 6.03034e-01 3.71928e+08 33 2.88889e+00 0.00000e+00 0.00000e+00
