 PK2:0   PK2:1   PK2:2   PK2:3   PK2:4   Logarithmic_strain_components:0   Logarithmic_strain_components:1   Logarithmic_strain_components:2   Logarithmic_strain_components:3   Logarithmic_strain_components:4   Spatial_displacement:0   Spatial_displacement:1   Spatial_acceleration:0   Spatial_acceleration:1   Spatial_velocity:0   Spatial_velocity:1   Reaction_force:0   Reaction_force:1   Stress_Mises   Stress_Max_Principal   Stress_Mid_Principal   Stress_Min_Principal   Stress_Pressure   Stress_Tresca   Stress_Third_Invariant   Logarithmic_strain_Max_Principal   Logarithmic_strain_Min_Principal   vtkOriginalPointIds   Points:0   Points:1   Points:2 
1.96968e+09 5.69954e+05 5.69954e+05 8.51833e+08 8.52622e+08 7.31366e-03 7.46332e-06 7.46332e-06 -5.21353e-06 0.00000e+00 -2.77403e-04 0.00000e+00 -3.16606e+06 0.00000e+00 -3.58664e+01 0.00000e+00 0.00000e+00 -9.56763e+07 1.11745e+09 1.96968e+09 8.52622e+08 8.51833e+08 -1.22471e+09 1.11785e+09 1.11745e+09 7.31366e-03 -5.21543e-06 22 1.22194e+00 0.00000e+00 0.00000e+00
3.32980e+08 9.76802e+04 9.76802e+04 1.42804e+08 1.42928e+08 1.23704e-03 1.27159e-06 1.27159e-06 -8.04337e-07 0.00000e+00 -3.04579e-05 0.00000e+00 -6.09970e+05 0.00000e+00 -5.54719e+00 0.00000e+00 0.00000e+00 -1.58978e+07 1.90115e+08 3.32980e+08 1.42928e+08 1.42804e+08 -2.06237e+08 1.90176e+08 1.90114e+08 1.23704e-03 -8.04663e-07 24 1.33330e+00 0.00000e+00 0.00000e+00
3.67615e+07 1.20440e+04 1.20440e+04 1.57338e+07 1.57475e+07 1.36597e-04 1.37880e-07 1.37880e-07 -8.93697e-08 0.00000e+00 -2.11127e-06 0.00000e+00 -7.34864e+04 0.00000e+00 -5.61515e-01 0.00000e+00 0.00000e+00 -1.74850e+06 2.10208e+07 3.67615e+07 1.57475e+07 1.57338e+07 -2.27476e+07 2.10277e+07 2.10208e+07 1.36598e-04 -8.94070e-08 26 1.44444e+00 0.00000e+00 0.00000e+00
2.55148e+06 1.48322e+03 1.48322e+03 1.09354e+06 1.09354e+06 9.47706e-06 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -8.42762e-08 0.00000e+00 -5.44326e+03 0.00000e+00 -3.61487e-02 0.00000e+00 0.00000e+00 -1.21436e+05 1.45794e+06 2.55148e+06 1.09354e+06 1.09354e+06 -1.57952e+06 1.45794e+06 1.45794e+06 9.47706e-06 0.00000e+00 28 1.55556e+00 0.00000e+00 0.00000e+00
9.62829e+04 4.42717e+01 4.42717e+01 4.12655e+04 4.12655e+04 3.57628e-07 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -1.05693e-14 0.00000e+00 -2.22111e+02 0.00000e+00 -1.16058e-03 0.00000e+00 0.00000e+00 -4.58820e+03 5.50175e+04 9.62830e+04 4.12655e+04 4.12655e+04 -5.96046e+04 5.50175e+04 5.50175e+04 3.57628e-07 0.00000e+00 30 1.66667e+00 0.00000e+00 0.00000e+00
-4.47164e-18 8.53030e-04 8.53030e-04 4.47164e-18 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.12244e-37 0.00000e+00 5.79372e-07 0.00000e+00 3.02736e-12 0.00000e+00 0.00000e+00 -1.35054e-05 1.47749e-03 8.53030e-04 0.00000e+00 -8.53030e-04 0.00000e+00 1.70606e-03 0.00000e+00 0.00000e+00 0.00000e+00 32 1.77778e+00 0.00000e+00 0.00000e+00
0.00000e+00 5.46331e-26 5.46331e-26 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 3.59086e-28 0.00000e+00 1.87631e-33 0.00000e+00 0.00000e+00 -5.14869e-27 0.00000e+00 5.46331e-26 0.00000e+00 -5.46331e-26 0.00000e+00 1.09266e-25 0.00000e+00 0.00000e+00 0.00000e+00 34 1.88889e+00 0.00000e+00 0.00000e+00
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 36 2.00000e+00 0.00000e+00 0.00000e+00
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 38 2.11111e+00 0.00000e+00 0.00000e+00
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 40 2.22222e+00 0.00000e+00 0.00000e+00
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 42 2.33333e+00 0.00000e+00 0.00000e+00
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 44 2.44444e+00 0.00000e+00 0.00000e+00
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 46 2.55556e+00 0.00000e+00 0.00000e+00
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 48 2.66667e+00 0.00000e+00 0.00000e+00
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 50 2.77778e+00 0.00000e+00 0.00000e+00
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 52 2.88889e+00 0.00000e+00 0.00000e+00
0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 54 3.00000e+00 0.00000e+00 0.00000e+00
