 mpm_F12   mpm_F11   mpm_F22   mpm_S22   mpm_S21   mpm_F21   mpm_S12   mpm_V2   mpm_V1   mpm_S11   vtkOriginalPointIds   Points:0   Points:1   Points:2 
4.41019e-04 1.17997e+00 9.95101e-01 2.46017e+10 -3.69209e+08 -4.89920e-03 -3.69209e+08 0.00000e+00 -1.00497e+03 5.23914e+10 0 -1.82084e-01 -3.45797e-04 0.00000e+00
2.05510e-04 1.10032e+00 9.99501e-01 1.31690e+10 2.75763e+07 1.60453e-04 2.75763e+07 0.00000e+00 -3.89601e+02 2.84533e+10 1 9.82292e-01 -5.11692e-05 0.00000e+00
3.19339e-14 1.00000e+00 1.00000e+00 1.89406e+00 4.66606e-03 2.87250e-14 4.66606e-03 0.00000e+00 0.00000e+00 4.43422e+00 2 3.00000e+00 -3.27903e-15 0.00000e+00
7.53957e-04 1.18083e+00 9.90869e-01 2.32139e+10 1.06330e+08 6.67151e-04 1.06330e+08 0.00000e+00 -9.88527e+02 5.17929e+10 9 -6.02020e-02 -6.34222e-04 0.00000e+00
4.97176e-04 1.16403e+00 9.92343e-01 2.08856e+10 1.00132e+08 8.07277e-04 1.00132e+08 0.00000e+00 -9.79613e+02 4.67544e+10 10 7.00110e-02 -5.79925e-04 0.00000e+00
4.25142e-04 1.16367e+00 9.93812e-01 2.13429e+10 8.32552e+07 6.61657e-04 8.32552e+07 0.00000e+00 -9.61885e+02 4.69288e+10 11 1.99681e-01 -5.59913e-04 0.00000e+00
5.53622e-04 1.19793e+00 9.95066e-01 2.77779e+10 8.62587e+07 5.92506e-04 8.62587e+07 0.00000e+00 -9.60288e+02 5.82183e+10 12 3.30683e-01 -4.87838e-04 0.00000e+00
6.58314e-04 1.19767e+00 9.96255e-01 2.81753e+10 9.36359e+07 5.95766e-04 9.36359e+07 0.00000e+00 -1.16012e+03 5.83914e+10 13 4.62370e-01 -3.76540e-04 0.00000e+00
6.37474e-04 1.18740e+00 9.97394e-01 2.67511e+10 8.80898e+07 5.44096e-04 8.80898e+07 0.00000e+00 -1.16123e+03 5.52785e+10 14 5.94692e-01 -2.60427e-04 0.00000e+00
4.98761e-04 1.18733e+00 9.98362e-01 2.70961e+10 6.87402e+07 4.23609e-04 6.87402e+07 0.00000e+00 -8.77568e+02 5.54626e+10 15 7.29047e-01 -1.64120e-04 0.00000e+00
3.37369e-04 1.10024e+00 9.99063e-01 1.30167e+10 4.64021e+07 2.77611e-04 4.64021e+07 0.00000e+00 -8.79759e+02 2.83566e+10 16 8.56019e-01 -9.47256e-05 0.00000e+00
1.15415e-04 1.03260e+00 9.99752e-01 3.87671e+09 1.56767e+07 8.98521e-05 1.56767e+07 0.00000e+00 -3.91110e+02 8.90427e+09 17 1.10073e+00 -2.54964e-05 0.00000e+00
5.91645e-05 1.03267e+00 9.99886e-01 3.92422e+09 7.93470e+06 4.47577e-05 7.93470e+06 0.00000e+00 -1.08265e+02 8.94209e+09 18 1.21778e+00 -1.19228e-05 0.00000e+00
2.71367e-05 1.00685e+00 9.99952e-01 7.85362e+08 3.65872e+06 2.05029e-05 3.65872e+06 0.00000e+00 -1.08878e+02 1.84541e+09 19 1.33107e+00 -5.19794e-06 0.00000e+00
1.17599e-05 1.00688e+00 9.99981e-01 7.96945e+08 1.57395e+06 8.73515e-06 1.57395e+06 0.00000e+00 -1.97658e+01 1.85721e+09 20 1.44366e+00 -2.09841e-06 0.00000e+00
4.61699e-06 1.00097e+00 9.99993e-01 1.10670e+08 6.19357e+05 3.43653e-06 6.19357e+05 0.00000e+00 -1.99447e+01 2.61590e+08 21 1.55521e+00 -7.85979e-07 0.00000e+00
1.64384e-06 1.00098e+00 9.99998e-01 1.12913e+08 2.19707e+05 1.21303e-06 2.19707e+05 0.00000e+00 -2.49050e+00 2.64432e+08 22 1.66657e+00 -2.74372e-07 0.00000e+00
5.55449e-07 1.00010e+00 9.99999e-01 1.11138e+07 7.41809e+04 4.08926e-07 7.41809e+04 0.00000e+00 -2.52778e+00 2.63158e+07 23 1.77774e+00 -8.82704e-08 0.00000e+00
1.69160e-07 1.00010e+00 1.00000e+00 1.14340e+07 2.25898e+04 1.24515e-07 2.25898e+04 0.00000e+00 -2.26358e-01 2.67891e+07 24 1.88888e+00 -2.65757e-08 0.00000e+00
4.76047e-08 1.00001e+00 1.00000e+00 8.20409e+05 6.33582e+03 3.47611e-08 6.33582e+03 0.00000e+00 -2.31669e-01 1.94495e+06 25 2.00000e+00 -7.46963e-09 0.00000e+00
1.31526e-08 1.00001e+00 1.00000e+00 8.53129e+05 1.75533e+03 9.66678e-09 1.75533e+03 0.00000e+00 -1.53410e-02 1.99852e+06 26 2.11111e+00 -1.92872e-09 0.00000e+00
2.97618e-09 1.00000e+00 1.00000e+00 4.56831e+04 3.95075e+02 2.15980e-09 3.95075e+02 0.00000e+00 -1.58655e-02 1.08425e+05 27 2.22222e+00 -4.83761e-10 0.00000e+00
7.82858e-10 1.00000e+00 1.00000e+00 4.81008e+04 1.04413e+02 5.74511e-10 1.04413e+02 0.00000e+00 -7.93487e-04 1.12664e+05 28 2.33333e+00 -1.06442e-10 0.00000e+00
1.38916e-10 1.00000e+00 1.00000e+00 1.95405e+03 1.84044e+01 1.00342e-10 1.84044e+01 0.00000e+00 -8.30532e-04 4.64264e+03 29 2.44444e+00 -2.42888e-11 0.00000e+00
3.59475e-11 1.00000e+00 1.00000e+00 2.08575e+03 4.79111e+00 2.63369e-11 4.79111e+00 0.00000e+00 -3.18163e-05 4.88498e+03 30 2.55556e+00 -4.52543e-12 0.00000e+00
4.92694e-12 1.00000e+00 1.00000e+00 6.49529e+01 6.51796e-01 3.54641e-12 6.51796e-01 0.00000e+00 -3.37415e-05 1.54464e+02 31 2.66667e+00 -9.54420e-13 0.00000e+00
1.28001e-12 1.00000e+00 1.00000e+00 7.03361e+01 1.70481e-01 9.36240e-13 1.70481e-01 0.00000e+00 -9.98133e-07 1.64726e+02 32 2.77778e+00 -1.49629e-13 0.00000e+00
1.32780e-13 1.00000e+00 1.00000e+00 1.72289e+00 1.76158e-02 9.62250e-14 1.76158e-02 0.00000e+00 -1.07327e-06 4.09895e+00 33 2.88889e+00 -2.96128e-14 0.00000e+00
