 PK2:0   PK2:1   PK2:2   PK2:3   PK2:4   Logarithmic_strain_components:0   Logarithmic_strain_components:1   Logarithmic_strain_components:2   Logarithmic_strain_components:3   Logarithmic_strain_components:4   Spatial_displacement:0   Spatial_displacement:1   Spatial_acceleration:0   Spatial_acceleration:1   Spatial_velocity:0   Spatial_velocity:1   Reaction_force:0   Reaction_force:1   Stress_Mises   Stress_Max_Principal   Stress_Mid_Principal   Stress_Min_Principal   Stress_Pressure   Stress_Tresca   Stress_Third_Invariant   Logarithmic_strain_Max_Principal   Logarithmic_strain_Min_Principal   vtkOriginalPointIds   Points:0   Points:1   Points:2 
4.38598e+10 -9.12522e+07 -9.12522e+07 2.45269e+10 2.28982e+10 1.53882e-01 -1.32232e-03 -1.32232e-03 1.38076e-02 0.00000e+00 -4.98655e-01 0.00000e+00 0.00000e+00 0.00000e+00 -1.00000e+03 0.00000e+00 -2.46828e+09 -1.58990e+09 2.01972e+10 4.38603e+10 2.45265e+10 2.28982e+10 -3.04283e+10 2.09620e+10 2.00487e+10 1.53886e-01 0.00000e+00 0 -4.98655e-01 0.00000e+00 0.00000e+00
4.43837e+10 -1.79559e+08 -1.79559e+08 2.42255e+10 2.29275e+10 1.57084e-01 -2.60193e-03 -2.60193e-03 1.10313e-02 0.00000e+00 -4.80181e-01 0.00000e+00 7.32656e+05 0.00000e+00 -9.86122e+02 0.00000e+00 0.00000e+00 -3.15039e+09 2.08429e+10 4.43856e+10 2.42236e+10 2.29275e+10 -3.05122e+10 2.14582e+10 2.07443e+10 1.57098e-01 0.00000e+00 1 -3.69070e-01 0.00000e+00 0.00000e+00
4.45920e+10 -3.36650e+08 -3.36650e+08 2.25898e+10 2.22586e+10 1.61734e-01 -4.86055e-03 -4.86055e-03 2.82398e-03 0.00000e+00 -4.60881e-01 0.00000e+00 -1.64610e+06 0.00000e+00 -9.78789e+02 0.00000e+00 0.00000e+00 -2.95261e+09 2.21846e+10 4.45973e+10 2.27406e+10 2.21026e+10 -2.98135e+10 2.24947e+10 2.21579e+10 1.61772e-01 -1.32922e-03 4 -2.38659e-01 0.00000e+00 0.00000e+00
4.51739e+10 -3.85518e+08 -3.85518e+08 2.01648e+10 2.13257e+10 1.69846e-01 -5.54574e-03 -5.54574e-03 -1.00019e-02 0.00000e+00 -4.41244e-01 0.00000e+00 8.65696e+05 0.00000e+00 -9.50695e+02 0.00000e+00 0.00000e+00 -2.65998e+09 2.44679e+10 4.51799e+10 2.13257e+10 2.01588e+10 -2.88881e+10 2.50211e+10 2.43768e+10 1.69890e-01 -1.00454e-02 6 -1.07911e-01 0.00000e+00 0.00000e+00
4.52416e+10 -2.25991e+08 -2.25991e+08 1.68935e+10 1.98469e+10 1.77130e-01 -3.23966e-03 -3.23966e-03 -2.53260e-02 0.00000e+00 -4.19997e-01 0.00000e+00 -2.56879e+06 0.00000e+00 -9.37855e+02 0.00000e+00 0.00000e+00 -2.25055e+09 2.70066e+10 4.52442e+10 1.98469e+10 1.68909e+10 -2.73273e+10 2.83533e+10 2.66085e+10 1.77149e-01 -2.53446e-02 8 2.44474e-02 0.00000e+00 0.00000e+00
4.56366e+10 6.97929e+07 6.97929e+07 1.37439e+10 1.84744e+10 1.85530e-01 9.88488e-04 9.88488e-04 -4.08155e-02 0.00000e+00 -3.98677e-01 0.00000e+00 2.85511e+06 0.00000e+00 -9.06897e+02 0.00000e+00 0.00000e+00 -1.84737e+09 2.98155e+10 4.56375e+10 1.84744e+10 1.37431e+10 -2.59517e+10 3.18944e+10 2.89400e+10 1.85536e-01 -4.08217e-02 10 1.56878e-01 0.00000e+00 0.00000e+00
4.62862e+10 3.03900e+08 3.03900e+08 1.07932e+10 1.72532e+10 1.94475e-01 4.28284e-03 4.28284e-03 -5.58948e-02 0.00000e+00 -3.75258e-01 0.00000e+00 -2.52325e+05 0.00000e+00 -9.34178e+02 0.00000e+00 0.00000e+00 -1.46523e+09 3.27543e+10 4.62889e+10 1.72532e+10 1.07905e+10 -2.47775e+10 3.54985e+10 3.12519e+10 1.94494e-01 -5.59139e-02 12 2.91409e-01 0.00000e+00 0.00000e+00
4.69666e+10 3.31115e+08 3.31115e+08 7.67089e+09 1.59102e+10 2.03690e-01 4.64267e-03 4.64267e-03 -7.17017e-02 0.00000e+00 -3.51335e-01 0.00000e+00 3.78319e+06 0.00000e+00 -9.26422e+02 0.00000e+00 0.00000e+00 -1.04698e+09 3.58992e+10 4.69696e+10 1.59102e+10 7.66798e+09 -2.35159e+10 3.93016e+10 3.36630e+10 2.03711e-01 -7.17221e-02 14 4.26443e-01 0.00000e+00 0.00000e+00
4.79594e+10 2.67008e+08 2.67008e+08 4.50709e+09 1.46051e+10 2.14167e-01 3.71901e-03 3.71901e-03 -8.83076e-02 0.00000e+00 -3.25065e-01 0.00000e+00 2.91341e+05 0.00000e+00 -9.98527e+02 0.00000e+00 0.00000e+00 -6.23474e+08 3.93928e+10 4.79610e+10 1.46051e+10 4.50544e+09 -2.23572e+10 4.34556e+10 3.62896e+10 2.14179e-01 -8.83191e-02 16 5.63824e-01 0.00000e+00 0.00000e+00
4.73182e+10 3.55113e+08 3.55113e+08 1.03027e+09 1.27522e+10 2.17355e-01 4.89636e-03 4.89636e-03 -1.02075e-01 0.00000e+00 -2.98066e-01 0.00000e+00 1.87889e+05 0.00000e+00 -9.49777e+02 0.00000e+00 0.00000e+00 -1.38046e+08 4.16885e+10 4.73211e+10 1.27522e+10 1.02736e+09 -2.03669e+10 4.62937e+10 3.76956e+10 2.17375e-01 -1.02095e-01 18 7.01934e-01 0.00000e+00 0.00000e+00
