 mpm_F12   mpm_F11   mpm_F22   mpm_S22   mpm_S21   mpm_F21   mpm_S12   mpm_V2   mpm_V1   mpm_S11   vtkOriginalPointIds   Points:0   Points:1   Points:2 
2.17571e-02 1.22666e+00 1.00346e+00 3.63843e+10 1.74680e+09 3.46324e-03 1.74680e+09 0.00000e+00 -9.93485e+02 6.97527e+10 0 -1.01148e+00 -9.71167e-04 0.00000e+00
2.92705e-02 1.37629e+00 8.76064e-01 1.06625e+10 4.88406e+08 -1.34046e-02 4.88406e+08 0.00000e+00 -4.50274e+02 8.71976e+10 1 2.82648e-01 -9.91280e-03 0.00000e+00
-1.93069e-02 1.30449e+00 9.06822e-01 1.26595e+10 7.14795e+09 9.31779e-02 7.14795e+09 0.00000e+00 0.00000e+00 7.25034e+10 2 2.98544e+00 -9.36695e-03 0.00000e+00
3.21974e-02 1.23269e+00 9.92941e-01 3.35172e+10 9.90022e+08 -1.39856e-02 9.90022e+08 0.00000e+00 -9.50284e+02 6.94357e+10 9 -8.84058e-01 -1.84961e-03 0.00000e+00
-2.79643e-05 1.25382e+00 9.76003e-01 3.06855e+10 -2.50716e+08 -2.95228e-03 -2.50716e+08 0.00000e+00 -9.53940e+02 7.23365e+10 10 -7.46063e-01 -2.12127e-03 0.00000e+00
-1.01447e-02 1.26396e+00 9.62437e-01 2.71033e+10 -1.56472e+09 -1.06136e-02 -1.56472e+09 0.00000e+00 -8.51710e+02 7.24203e+10 11 -6.05482e-01 -3.35890e-03 0.00000e+00
1.24282e-02 1.29517e+00 9.40199e-01 2.37738e+10 -2.27354e+08 -1.16244e-02 -2.27354e+08 0.00000e+00 -8.13944e+02 7.72969e+10 12 -4.63349e-01 -4.89610e-03 0.00000e+00
1.97492e-02 1.30470e+00 9.24761e-01 1.91028e+10 9.01808e+08 -3.81386e-03 9.01808e+08 0.00000e+00 -7.38844e+02 7.66190e+10 13 -3.18360e-01 -5.82079e-03 0.00000e+00
5.89399e-03 1.33621e+00 9.10012e-01 1.83728e+10 -6.24445e+08 -1.09354e-02 -6.24445e+08 0.00000e+00 -6.93307e+02 8.30051e+10 14 -1.71595e-01 -7.39466e-03 0.00000e+00
1.58169e-03 1.35240e+00 8.89869e-01 1.25952e+10 -7.50830e+08 -9.20665e-03 -7.50830e+08 0.00000e+00 -5.08799e+02 8.31006e+10 15 -2.12312e-02 -8.65564e-03 0.00000e+00
2.09656e-02 1.36813e+00 8.85066e-01 1.30716e+10 1.66439e+09 4.40308e-03 1.66439e+09 0.00000e+00 -5.15564e+02 8.68028e+10 16 1.29734e-01 -8.71504e-03 0.00000e+00
9.39432e-03 1.40677e+00 8.55483e-01 6.48699e+09 -1.40014e+08 -7.17684e-03 -1.40014e+08 0.00000e+00 -3.36339e+02 9.12772e+10 17 4.37649e-01 -1.10977e-02 0.00000e+00
5.60313e-03 1.40270e+00 8.51617e-01 4.17948e+09 6.43370e+08 3.31105e-03 6.43370e+08 0.00000e+00 -3.17903e+02 8.90633e+10 18 5.93976e-01 -1.11608e-02 0.00000e+00
1.91928e-02 1.37515e+00 8.48195e-01 -1.23153e+09 4.87279e+08 -6.73344e-03 4.87279e+08 0.00000e+00 -2.61731e+02 8.01197e+10 19 7.48396e-01 -1.15963e-02 0.00000e+00
1.10141e-02 1.40095e+00 8.39217e-01 -1.33993e+09 4.21176e+08 -2.24417e-03 4.21176e+08 0.00000e+00 -3.77608e+02 8.55636e+10 20 9.02249e-01 -1.21220e-02 0.00000e+00
6.87342e-03 1.35509e+00 8.40839e-01 -6.96093e+09 7.76916e+08 3.86575e-03 7.76916e+08 0.00000e+00 -3.48373e+02 7.26702e+10 21 1.05535e+00 -1.18948e-02 0.00000e+00
