 P_11   P_12   strain_11   strain_12   P_21   velocity_x   P_22   strain_21   strain_22   S_21   S_22   velocity_y   S_11   S_12   vtkOriginalPointIds   Points:0   Points:1   Points:2 
4.99923e+10 4.72282e+09 1.17091e+00 6.40482e-02 2.75255e+09 -9.78184e+02 3.74164e+10 1.42301e-02 1.03922e+00 4.62156e+09 3.20112e+10 -6.54345e+00 4.83904e+10 4.62156e+09 0 -1.00492e+00 2.66949e-03 0.00000e+00
5.38292e+10 9.81033e+09 1.31673e+00 1.49916e-01 5.39786e+09 -6.44074e+02 5.38639e+09 -1.40747e-02 8.84035e-01 6.78734e+09 4.01817e+09 -9.25774e+00 6.20413e+10 6.78734e+09 1 2.48312e-01 -5.56165e-03 0.00000e+00
5.88693e+10 2.27451e+09 1.37278e+00 2.58667e-02 1.88746e+09 -2.55778e+01 1.19668e+09 1.15128e-02 8.54809e-01 2.23499e+09 8.90463e+08 -1.85396e+01 6.89360e+10 2.23499e+09 2 2.97932e+00 -7.39424e-03 0.00000e+00
4.98279e+10 5.75367e+09 1.19171e+00 8.21989e-02 2.90316e+09 -9.41455e+02 3.19734e+10 5.44310e-03 1.01095e+00 5.05506e+09 2.68529e+10 -5.84539e+00 4.96991e+10 5.05506e+09 9 -8.72354e-01 2.08488e-03 0.00000e+00
4.99026e+10 6.61444e+09 1.20998e+00 9.74304e-02 3.14689e+09 -9.03677e+02 2.73653e+10 -1.19898e-03 9.87794e-01 5.41600e+09 2.26110e+10 -5.62497e+00 5.10535e+10 5.41600e+09 10 -7.38277e-01 1.39095e-03 0.00000e+00
5.01991e+10 7.34759e+09 1.22712e+00 1.10251e-01 3.45203e+09 -8.65174e+02 2.33241e+10 -6.04457e-03 9.67798e-01 5.72897e+09 1.89790e+10 -5.74643e+00 5.25221e+10 5.72897e+09 11 -6.02493e-01 5.31459e-04 0.00000e+00
5.06772e+10 7.97769e+09 1.24369e+00 1.21053e-01 3.78932e+09 -8.26338e+02 1.97041e+10 -9.49575e-03 9.50051e-01 6.00141e+09 1.57974e+10 -6.11996e+00 5.41063e+10 6.00141e+09 12 -4.64921e-01 -4.28629e-04 0.00000e+00
5.12823e+10 8.51578e+09 1.25983e+00 1.30054e-01 4.13717e+09 -7.87610e+02 1.64087e+10 -1.18586e-02 9.34067e-01 6.23449e+09 1.29658e+10 -6.65350e+00 5.57702e+10 6.23449e+09 13 -3.25581e-01 -1.45280e-03 0.00000e+00
5.19537e+10 8.96661e+09 1.27544e+00 1.37378e-01 4.48088e+09 -7.49494e+02 1.33693e+10 -1.33545e-02 9.19585e-01 6.42860e+09 1.04148e+10 -7.27260e+00 5.74572e+10 6.42860e+09 14 -1.84506e-01 -2.50606e-03 0.00000e+00
5.26330e+10 9.33216e+09 1.29030e+00 1.43097e-01 4.81053e+09 -7.12534e+02 1.05371e+10 -1.41437e-02 9.06464e-01 6.58471e+09 8.09428e+09 -7.92663e+00 5.91036e+10 6.58471e+09 15 -4.17667e-02 -3.55930e-03 0.00000e+00
