 Fp:0   Fp:1   Fp:2   Fp:3   Fp:4   velocity:0   velocity:1   PK1:0   PK1:1   PK1:2   PK1:3   epeq   F:0   F:1   F:2   F:3   vtkOriginalPointIds   Points:0   Points:1   Points:2 
1.06571e+00 1.40534e-03 1.30385e-03 9.59245e-01 9.78210e-01 -3.94136e+02 -1.12909e+01 1.05042e+10 9.29568e+07 1.26696e+08 8.34693e+09 6.69199e-02 1.09834e+00 8.71738e-04 3.53656e-03 9.66565e-01 0 -1.40917e-01 -2.20025e-03 0.00000e+00
1.04356e+00 2.91826e-03 2.83601e-03 9.73798e-01 9.84047e-01 -2.99901e+02 -1.11167e+01 9.79144e+09 2.21597e+08 2.68613e+08 7.35363e+09 4.36361e-02 1.07425e+00 2.63783e-03 6.97888e-03 9.81123e-01 1 9.46523e-01 -1.28938e-03 0.00000e+00
1.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 -4.00284e+00 -5.94914e-02 5.91506e+08 1.95612e+06 1.95845e+06 2.51006e+08 0.00000e+00 1.00221e+00 1.00190e-05 1.55517e-05 9.99986e-01 2 2.99985e+00 -1.48455e-06 0.00000e+00
1.06565e+00 1.42561e-03 1.34283e-03 9.59261e-01 9.78248e-01 -3.88932e+02 -1.12050e+01 1.04968e+10 8.89843e+07 1.22482e+08 8.33679e+09 6.68323e-02 1.09827e+00 8.55874e-04 3.55558e-03 9.66565e-01 9 -2.12912e-02 -2.26476e-03 0.00000e+00
1.06440e+00 2.34841e-03 2.19948e-03 9.59818e-01 9.78837e-01 -3.76836e+02 -1.15099e+01 1.04132e+10 1.29772e+08 1.96220e+08 8.22990e+09 6.55116e-02 1.09686e+00 5.49015e-04 6.45608e-03 9.67060e-01 10 1.03189e-01 -2.13511e-03 0.00000e+00
1.06429e+00 2.41115e-03 2.27519e-03 9.59823e-01 9.78928e-01 -3.70872e+02 -1.16292e+01 1.04053e+10 1.27123e+08 1.92399e+08 8.21784e+09 6.53348e-02 1.09675e+00 6.34026e-04 6.47799e-03 9.67060e-01 11 2.22555e-01 -2.20307e-03 0.00000e+00
1.06008e+00 3.09889e-03 2.93294e-03 9.62688e-01 9.79893e-01 -3.57245e+02 -1.18889e+01 1.03010e+10 1.77828e+08 2.51566e+08 8.05420e+09 6.08804e-02 1.09223e+00 1.39197e-03 7.96015e-03 9.69941e-01 12 3.46729e-01 -1.99589e-03 0.00000e+00
1.05990e+00 3.18092e-03 3.02665e-03 9.62675e-01 9.80071e-01 -3.50505e+02 -1.20097e+01 1.02918e+10 1.74172e+08 2.46407e+08 8.03966e+09 6.06216e-02 1.09208e+00 1.49735e-03 7.98533e-03 9.69940e-01 13 4.65596e-01 -2.01504e-03 0.00000e+00
1.05295e+00 3.23641e-03 3.09732e-03 9.67673e-01 9.81452e-01 -3.35155e+02 -1.19456e+01 1.01524e+10 2.17024e+08 2.81730e+08 7.81504e+09 5.33319e-02 1.08463e+00 2.27075e-03 7.97945e-03 9.75035e-01 14 5.88966e-01 -1.71695e-03 0.00000e+00
1.05264e+00 3.32409e-03 3.19596e-03 9.67666e-01 9.81745e-01 -3.27481e+02 -1.19247e+01 1.01266e+10 2.10184e+08 2.73450e+08 7.78292e+09 5.29804e-02 1.08432e+00 2.33233e-03 8.00923e-03 9.75036e-01 15 7.07105e-01 -1.68748e-03 0.00000e+00
1.04410e+00 2.83656e-03 2.74540e-03 9.73715e-01 9.83627e-01 -3.09345e+02 -1.13702e+01 9.87085e+09 2.31760e+08 2.79852e+08 7.44112e+09 4.41692e-02 1.07493e+00 2.65445e-03 6.94046e-03 9.81121e-01 16 8.29266e-01 -1.34392e-03 0.00000e+00
1.03451e+00 2.16588e-03 2.11833e-03 9.79953e-01 9.86421e-01 -2.77199e+02 -9.97999e+00 9.30132e+09 2.17522e+08 2.48016e+08 6.80054e+09 3.44457e-02 1.06371e+00 2.49572e-03 5.38493e-03 9.86983e-01 17 1.06717e+00 -9.56289e-04 0.00000e+00
1.03364e+00 2.22194e-03 2.18055e-03 9.80237e-01 9.86968e-01 -2.64902e+02 -9.51387e+00 9.12691e+09 2.07097e+08 2.37152e+08 6.61406e+09 3.36012e-02 1.06242e+00 2.40079e-03 5.43590e-03 9.86986e-01 18 1.18344e+00 -9.00396e-04 0.00000e+00
1.02489e+00 1.45005e-03 1.43074e-03 9.85893e-01 9.89678e-01 -2.37044e+02 -7.92140e+00 8.33997e+09 1.83742e+08 2.00166e+08 5.80313e+09 2.48174e-02 1.05143e+00 1.98838e-03 3.77676e-03 9.91805e-01 19 1.30237e+00 -6.20605e-04 0.00000e+00
1.02367e+00 1.46815e-03 1.45233e-03 9.86414e-01 9.90336e-01 -2.21824e+02 -7.38344e+00 8.05886e+09 1.76377e+08 1.92967e+08 5.50818e+09 2.36283e-02 1.04950e+00 1.84463e-03 3.83870e-03 9.91808e-01 20 1.41759e+00 -5.77118e-04 0.00000e+00
1.01595e+00 8.34018e-04 8.28312e-04 9.91162e-01 9.93082e-01 -1.91020e+02 -5.67896e+00 7.04991e+09 1.44042e+08 1.51480e+08 4.52869e+09 1.59102e-02 1.03902e+00 1.39280e-03 2.41159e-03 9.95277e-01 21 1.53473e+00 -3.69884e-04 0.00000e+00
1.01455e+00 8.20592e-04 8.16359e-04 9.91827e-01 9.93782e-01 -1.74542e+02 -5.21194e+00 6.69633e+09 1.40428e+08 1.48321e+08 4.16962e+09 1.45370e-02 1.03673e+00 1.23790e-03 2.47593e-03 9.95279e-01 22 1.64891e+00 -3.41713e-04 0.00000e+00
1.00851e+00 3.91343e-04 3.90275e-04 9.95376e-01 9.96171e-01 -1.45047e+02 -3.72390e+00 5.65038e+09 1.06517e+08 1.09260e+08 3.22046e+09 8.50067e-03 1.02786e+00 8.88111e-04 1.40357e-03 9.97509e-01 23 1.76438e+00 -2.03781e-04 0.00000e+00
1.00722e+00 3.62879e-04 3.62220e-04 9.96021e-01 9.96796e-01 -1.29888e+02 -3.38169e+00 5.28336e+09 1.05158e+08 1.08363e+08 2.86945e+09 7.22501e-03 1.02563e+00 7.47463e-04 1.46005e-03 9.97511e-01 24 1.87766e+00 -1.87802e-04 0.00000e+00
1.00327e+00 1.30197e-04 1.30107e-04 9.98254e-01 9.98485e-01 -1.05413e+02 -2.25294e+00 4.37087e+09 7.37898e+07 7.45205e+07 2.13370e+09 3.27035e-03 1.01910e+00 5.34695e-04 7.35646e-04 9.98809e-01 25 1.99178e+00 -1.03611e-04 0.00000e+00
1.00234e+00 1.02985e-04 1.02949e-04 9.98734e-01 9.98931e-01 -9.32783e+01 -2.03513e+00 4.02347e+09 7.25835e+07 7.36812e+07 1.84354e+09 2.34261e-03 1.01719e+00 4.16278e-04 7.79482e-04 9.98810e-01 26 2.10436e+00 -9.54216e-05 0.00000e+00
1.00056e+00 1.85263e-05 1.85251e-05 9.99706e-01 9.99734e-01 -7.39948e+01 -1.25919e+00 3.27699e+09 4.52334e+07 4.52769e+07 1.39422e+09 5.60368e-04 1.01295e+00 3.12826e-04 3.29913e-04 9.99494e-01 27 2.21750e+00 -4.75484e-05 0.00000e+00
1.00021e+00 7.74704e-06 7.74693e-06 9.99887e-01 9.99900e-01 -6.41257e+01 -1.11344e+00 2.89439e+09 4.30048e+07 4.32965e+07 1.17532e+09 2.12827e-04 1.01127e+00 2.23338e-04 3.67075e-04 9.99495e-01 28 2.32959e+00 -4.35907e-05 0.00000e+00
1.00001e+00 2.66003e-07 2.66003e-07 9.99994e-01 9.99995e-01 -4.74962e+01 -6.00622e-01 2.17737e+09 2.07896e+07 2.07303e+07 9.02613e+08 1.12317e-05 1.00827e+00 1.57036e-04 1.18332e-04 9.99818e-01 29 2.44201e+00 -1.82516e-05 0.00000e+00
1.00000e+00 4.52182e-08 4.52182e-08 9.99999e-01 9.99999e-01 -3.87027e+01 -5.18387e-01 1.79466e+09 1.90377e+07 1.90960e+07 7.34795e+08 1.69251e-06 1.00681e+00 1.02715e-04 1.48966e-04 9.99818e-01 30 2.55373e+00 -1.70750e-05 0.00000e+00
1.00000e+00 4.73186e-10 4.73186e-10 1.00000e+00 1.00000e+00 -2.52374e+01 -2.21014e-01 1.23027e+09 6.95345e+06 6.92882e+06 5.17913e+08 3.27727e-08 1.00462e+00 5.97063e-05 3.14613e-05 9.99946e-01 31 2.66560e+00 -5.55174e-06 0.00000e+00
1.00000e+00 5.63347e-11 5.63347e-11 1.00000e+00 1.00000e+00 -1.85727e+01 -1.95468e-01 9.74713e+08 6.68895e+06 6.69997e+06 4.07507e+08 3.16593e-09 1.00366e+00 3.58826e-05 5.18546e-05 9.99946e-01 32 2.77704e+00 -5.58718e-06 0.00000e+00
1.00000e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 -8.89933e+00 -6.90372e-02 6.78722e+08 1.54328e+06 1.53582e+06 2.88552e+08 0.00000e+00 1.00254e+00 1.77811e-05 2.34690e-06 9.99986e-01 33 2.88856e+00 -1.49533e-06 0.00000e+00
