 Fp:0   Fp:1   Fp:2   Fp:3   Fp:4   velocity:0   velocity:1   PK1:0   PK1:1   PK1:2   PK1:3   epeq   F:0   F:1   F:2   F:3   vtkOriginalPointIds   Points:0   Points:1   Points:2 
1.09763e+00 4.16867e-03 3.87089e-03 9.25330e-01 9.84587e-01 -3.91911e+02 -7.32028e+00 7.63737e+09 9.51860e+07 1.52719e+08 5.34123e+09 1.05425e-01 1.12520e+00 1.31030e-03 8.30750e-03 9.26329e-01 0 -2.62654e-01 -5.13643e-03 0.00000e+00
1.08357e+00 1.21305e-02 1.16126e-02 9.35106e-01 9.87060e-01 -2.81300e+02 -9.84412e+00 6.75528e+09 2.79330e+08 4.20757e+08 4.25800e+09 9.01178e-02 1.10823e+00 3.27759e-03 2.48513e-02 9.34599e-01 1 8.55800e-01 -4.61034e-03 0.00000e+00
1.02786e+00 1.11628e-03 1.11346e-03 9.82842e-01 9.89883e-01 -1.32021e+01 -6.95369e+00 7.99865e+09 6.91827e+07 7.17098e+07 5.37934e+09 2.78791e-02 1.05382e+00 1.50693e-03 1.85107e-03 9.87455e-01 2 2.99603e+00 -9.49459e-04 0.00000e+00
1.09756e+00 4.16101e-03 3.88603e-03 9.25362e-01 9.84616e-01 -3.86636e+02 -7.33790e+00 7.62265e+09 9.48654e+07 1.52386e+08 5.32292e+09 1.05318e-01 1.12509e+00 1.29578e-03 8.32348e-03 9.26329e-01 9 -1.41308e-01 -5.19090e-03 0.00000e+00
1.10054e+00 7.34944e-03 6.85302e-03 9.22349e-01 9.85195e-01 -3.69487e+02 -8.02889e+00 7.44734e+09 1.36382e+08 2.65324e+08 5.15527e+09 1.08638e-01 1.12783e+00 -5.98415e-04 1.68027e-02 9.23005e-01 10 -1.21091e-02 -5.20514e-03 0.00000e+00
1.10039e+00 7.38455e-03 6.90825e-03 9.22417e-01 9.85254e-01 -3.63178e+02 -8.33900e+00 7.41540e+09 1.36809e+08 2.64549e+08 5.11556e+09 1.08394e-01 1.12759e+00 -5.20921e-04 1.68217e-02 9.23004e-01 11 1.09234e-01 -5.33691e-03 0.00000e+00
1.09958e+00 1.03330e-02 9.70782e-03 9.22549e-01 9.85886e-01 -3.43710e+02 -9.04360e+00 7.19128e+09 1.86096e+08 3.41051e+08 4.86018e+09 1.07700e-01 1.12619e+00 4.69627e-04 2.23237e-02 9.22737e-01 12 2.38613e-01 -5.26353e-03 0.00000e+00
1.09940e+00 1.03812e-02 9.77713e-03 9.22630e-01 9.85962e-01 -3.36532e+02 -9.34786e+00 7.15225e+09 1.87216e+08 3.40475e+08 4.81191e+09 1.07367e-01 1.12590e+00 5.78984e-04 2.23453e-02 9.22736e-01 13 3.59654e-01 -5.34457e-03 0.00000e+00
1.09330e+00 1.19425e-02 1.13140e-02 9.27324e-01 9.86478e-01 -3.15998e+02 -9.60662e+00 6.95783e+09 2.36461e+08 3.91227e+08 4.55172e+09 1.00939e-01 1.11898e+00 2.10454e-03 2.47732e-02 9.27114e-01 14 4.88439e-01 -5.07466e-03 0.00000e+00
1.09312e+00 1.19866e-02 1.13802e-02 9.27397e-01 9.86559e-01 -3.08602e+02 -9.81589e+00 6.92132e+09 2.37467e+08 3.90639e+08 4.50706e+09 1.00587e-01 1.11870e+00 2.20196e-03 2.47953e-02 9.27114e-01 15 6.08802e-01 -5.07804e-03 0.00000e+00
1.08371e+00 1.20941e-02 1.15548e-02 9.35058e-01 9.86981e-01 -2.88519e+02 -9.71942e+00 6.78087e+09 2.79345e+08 4.21978e+08 4.28936e+09 9.04361e-02 1.10844e+00 3.20909e-03 2.48298e-02 9.34599e-01 16 7.36327e-01 -4.66391e-03 0.00000e+00
1.07298e+00 1.12442e-02 1.08306e-02 9.43941e-01 9.87449e-01 -2.62257e+02 -9.56710e+00 6.67839e+09 3.09444e+08 4.35627e+08 4.10904e+09 7.85329e-02 1.09695e+00 3.65758e-03 2.33545e-02 9.43423e-01 17 9.81753e-01 -4.12972e-03 0.00000e+00
1.07289e+00 1.12741e-02 1.08799e-02 9.43948e-01 9.87525e-01 -2.55277e+02 -9.64690e+00 6.67044e+09 3.07493e+08 4.32953e+08 4.09782e+09 7.82830e-02 1.09686e+00 3.68861e-03 2.33751e-02 9.43423e-01 18 1.10028e+00 -4.04688e-03 0.00000e+00
1.06258e+00 9.88093e-03 9.59061e-03 9.52679e-01 9.87940e-01 -2.37037e+02 -9.33268e+00 6.66315e+09 3.22094e+08 4.30778e+08 4.03007e+09 6.68844e-02 1.08610e+00 3.64428e-03 2.10164e-02 9.52327e-01 19 1.22465e+00 -3.55997e-03 0.00000e+00
1.06256e+00 9.90628e-03 9.63241e-03 9.52635e-01 9.88011e-01 -2.30122e+02 -9.39956e+00 6.67719e+09 3.17493e+08 4.25959e+08 4.04315e+09 6.67248e-02 1.08615e+00 3.63141e-03 2.10368e-02 9.52327e-01 20 1.34230e+00 -3.46839e-03 0.00000e+00
1.05334e+00 8.35744e-03 8.16946e-03 9.60500e-01 9.88474e-01 -2.11988e+02 -9.13273e+00 6.74316e+09 3.13985e+08 4.05416e+08 4.06334e+09 5.64727e-02 1.07678e+00 3.38385e-03 1.82492e-02 9.60566e-01 21 1.46523e+00 -3.01247e-03 0.00000e+00
1.05338e+00 8.37837e-03 8.20364e-03 9.60400e-01 9.88531e-01 -2.04867e+02 -9.19243e+00 6.77949e+09 3.06763e+08 3.98473e+08 4.10139e+09 5.64174e-02 1.07697e+00 3.32617e-03 1.82703e-02 9.60566e-01 22 1.58211e+00 -2.92382e-03 0.00000e+00
1.04566e+00 6.87355e-03 6.76226e-03 9.67024e-01 9.88991e-01 -1.86032e+02 -8.98412e+00 6.91616e+09 2.85797e+08 3.60728e+08 4.21126e+09 4.78090e-02 1.06938e+00 3.03435e-03 1.53067e-02 9.67766e-01 23 1.70387e+00 -2.51792e-03 0.00000e+00
1.04579e+00 6.88712e-03 6.78584e-03 9.66879e-01 9.89020e-01 -1.78455e+02 -9.01685e+00 6.96990e+09 2.77189e+08 3.52841e+08 4.26988e+09 4.78599e-02 1.06969e+00 2.94031e-03 1.53293e-02 9.67766e-01 24 1.82013e+00 -2.43686e-03 0.00000e+00
1.03968e+00 5.49669e-03 5.43827e-03 9.72180e-01 9.89388e-01 -1.58253e+02 -8.81762e+00 7.16170e+09 2.43464e+08 3.02850e+08 4.45580e+09 4.10492e-02 1.06391e+00 2.66565e-03 1.23392e-02 9.73800e-01 25 1.94099e+00 -2.08801e-03 0.00000e+00
1.03986e+00 5.49833e-03 5.44666e-03 9.72015e-01 9.89380e-01 -1.50055e+02 -8.80139e+00 7.22355e+09 2.35458e+08 2.95873e+08 4.52499e+09 4.11845e-02 1.06429e+00 2.55025e-03 1.23640e-02 9.73800e-01 26 2.05678e+00 -2.01554e-03 0.00000e+00
1.03525e+00 4.21898e-03 4.19296e-03 9.76104e-01 9.89612e-01 -1.28073e+02 -8.55394e+00 7.43775e+09 1.95460e+08 2.40332e+08 4.74920e+09 3.60473e-02 1.06008e+00 2.27212e-03 9.45480e-03 9.78676e-01 27 2.17700e+00 -1.72556e-03 0.00000e+00
1.03545e+00 4.20707e-03 4.18460e-03 9.75950e-01 9.89577e-01 -1.19177e+02 -8.48692e+00 7.49668e+09 1.89497e+08 2.35525e+08 4.81596e+09 3.62195e-02 1.06045e+00 2.14956e-03 9.48207e-03 9.78676e-01 28 2.29244e+00 -1.66216e-03 0.00000e+00
1.03206e+00 3.03750e-03 3.02745e-03 9.79017e-01 9.89713e-01 -9.52834e+01 -8.17247e+00 7.69149e+09 1.48398e+08 1.79531e+08 5.02793e+09 3.24641e-02 1.05743e+00 1.86969e-03 6.73094e-03 9.82459e-01 29 2.41222e+00 -1.43120e-03 0.00000e+00
1.03223e+00 3.01528e-03 3.00626e-03 9.78896e-01 9.89674e-01 -8.56846e+01 -8.06813e+00 7.73794e+09 1.44711e+08 1.76980e+08 5.08085e+09 3.26188e-02 1.05773e+00 1.74962e-03 6.76062e-03 9.82460e-01 30 2.52742e+00 -1.37658e-03 0.00000e+00
1.02972e+00 1.98931e-03 1.98494e-03 9.81168e-01 9.89784e-01 -6.01137e+01 -7.69978e+00 7.88143e+09 1.05724e+08 1.22956e+08 5.24192e+09 2.98794e-02 1.05547e+00 1.57509e-03 4.19192e-03 9.85296e-01 31 2.64690e+00 -1.19910e-03 0.00000e+00
1.02982e+00 1.96341e-03 1.95890e-03 9.81095e-01 9.89758e-01 -4.99568e+01 -7.56395e+00 7.90954e+09 1.03772e+08 1.22021e+08 5.27408e+09 2.99780e-02 1.05565e+00 1.46602e-03 4.22346e-03 9.85296e-01 32 2.76192e+00 -1.14878e-03 0.00000e+00
1.02783e+00 1.13520e-03 1.13258e-03 9.82863e-01 9.89889e-01 -2.35017e+01 -7.14283e+00 7.99104e+09 7.01450e+07 7.18831e+07 5.37053e+09 2.78533e-02 1.05377e+00 1.58985e-03 1.81901e-03 9.87455e-01 33 2.88114e+00 -1.00791e-03 0.00000e+00
