 Fp:0   Fp:1   Fp:2   Fp:3   Fp:4   velocity:0   velocity:1   PK1:0   PK1:1   PK1:2   PK1:3   epeq   F:0   F:1   F:2   F:3   vtkOriginalPointIds   Points:0   Points:1   Points:2 
1.12137e+00 -1.46406e-02 -1.67357e-02 9.02958e-01 9.87846e-01 -3.92416e+02 -6.45941e+00 6.38104e+09 1.15473e+08 5.74961e+07 3.94315e+09 1.34581e-01 1.14721e+00 -3.42249e-03 -2.59942e-02 9.01145e-01 0 -2.65528e-01 -4.63768e-03 0.00000e+00
1.08923e+00 1.12962e-02 1.07478e-02 9.28123e-01 9.89300e-01 -2.58179e+02 -7.68808e+00 5.56643e+09 2.75318e+08 3.88006e+08 2.84878e+09 9.82652e-02 1.11109e+00 2.39329e-03 2.32737e-02 9.24940e-01 1 8.61298e-01 -4.20759e-03 0.00000e+00
1.02648e+00 1.13469e-03 1.13513e-03 9.84796e-01 9.89248e-01 -1.00774e+01 -4.91194e+00 8.57671e+09 5.03819e+07 7.19567e+07 6.03524e+09 2.63400e-02 1.05374e+00 8.76532e-05 3.14421e-03 9.91066e-01 2 2.99691e+00 -3.58798e-04 0.00000e+00
1.09508e+00 9.84948e-04 5.24180e-04 9.24544e-01 9.87708e-01 -3.78894e+02 -5.47832e+00 6.40824e+09 1.08864e+08 1.06621e+08 3.80704e+09 1.05481e-01 1.11952e+00 3.54774e-03 -1.92705e-04 9.22963e-01 9 -1.41313e-01 -4.38689e-03 0.00000e+00
1.10262e+00 3.50598e-03 3.03175e-03 9.18010e-01 9.87940e-01 -3.65873e+02 -5.98481e+00 6.32930e+09 1.14943e+08 1.79786e+08 3.76845e+09 1.13203e-01 1.12726e+00 -5.04457e-04 8.48494e-03 9.16302e-01 10 -1.59915e-02 -4.60252e-03 0.00000e+00
1.10496e+00 5.73959e-03 5.25414e-03 9.15891e-01 9.88151e-01 -3.51518e+02 -6.41637e+00 6.23247e+09 1.37920e+08 2.30434e+08 3.67522e+09 1.15699e-01 1.12945e+00 -8.60694e-04 1.34621e-02 9.13992e-01 11 1.09709e-01 -4.70173e-03 0.00000e+00
1.10616e+00 7.64013e-03 7.08805e-03 9.14693e-01 9.88395e-01 -3.36265e+02 -6.89321e+00 6.11707e+09 1.64215e+08 2.76316e+08 3.55259e+09 1.17092e-01 1.13040e+00 -7.87160e-04 1.73711e-02 9.12565e-01 12 2.35572e-01 -4.79641e-03 0.00000e+00
1.10605e+00 9.23280e-03 8.61495e-03 9.14578e-01 9.88640e-01 -3.20361e+02 -7.30584e+00 5.99314e+09 1.90135e+08 3.13593e+08 3.41160e+09 1.17025e-01 1.12995e+00 -3.16670e-04 2.03189e-02 9.12203e-01 13 3.61431e-01 -4.83727e-03 0.00000e+00
1.10437e+00 1.04809e-02 9.82871e-03 9.15778e-01 9.88867e-01 -3.04185e+02 -7.60460e+00 5.86937e+09 2.14091e+08 3.41425e+08 3.26142e+09 1.15168e-01 1.12785e+00 4.43445e-04 2.23571e-02 9.13158e-01 14 4.87136e-01 -4.80687e-03 0.00000e+00
1.10082e+00 1.12462e-02 1.06005e-02 9.18577e-01 9.89056e-01 -2.88166e+02 -7.76020e+00 5.75381e+09 2.36088e+08 3.61420e+08 3.11134e+09 1.11210e-01 1.12379e+00 1.26595e-03 2.34414e-02 9.15731e-01 15 6.12479e-01 -4.68534e-03 0.00000e+00
