 stress_11   strain_11   strain_21   strain_22   velocity_x   velocity_y   stress_21   stress_22   vtkOriginalPointIds   Points:0   Points:1   Points:2 
1.99856e+08 4.76390e-04 3.45276e-05 6.20509e-04 -3.48576e+00 1.18995e-01 5.31194e+06 2.22028e+08 0 0.00000e+00 0.00000e+00 0.00000e+00
2.74424e+08 1.20120e-03 3.54897e-04 -4.24461e-04 -1.38665e+00 -4.53206e-02 5.45995e+07 2.43222e+07 1 1.00000e+00 0.00000e+00 0.00000e+00
3.47661e+08 1.59976e-03 1.34996e-04 -7.19707e-04 1.21904e-02 -5.71116e-02 2.07687e+07 -9.17995e+06 2 3.00000e+00 0.00000e+00 0.00000e+00
1.98009e+08 5.33409e-04 1.19010e-04 4.71455e-04 -3.45337e+00 1.03768e-01 1.83092e+07 1.88477e+08 9 1.11111e-01 0.00000e+00 0.00000e+00
3.62504e+08 1.21766e-03 1.86613e-04 3.00503e-04 2.21491e-01 6.14251e-02 2.87097e+07 2.21403e+08 10 2.22222e-01 0.00000e+00 0.00000e+00
3.29972e+08 1.16104e-03 2.37230e-04 1.50671e-04 -4.12265e-01 2.12096e-02 3.64969e+07 1.74531e+08 11 3.33333e-01 0.00000e+00 0.00000e+00
3.00929e+08 1.11054e-03 2.75883e-04 1.67849e-05 -9.81583e-01 2.89604e-03 4.24435e+07 1.32658e+08 12 4.44444e-01 0.00000e+00 0.00000e+00
2.85457e+08 1.10320e-03 3.05215e-04 -1.00159e-04 -1.27271e+00 -3.64997e-03 4.69562e+07 1.00326e+08 13 5.55556e-01 0.00000e+00 0.00000e+00
2.78088e+08 1.11877e-03 3.26654e-04 -2.00360e-04 -1.39651e+00 -1.16934e-02 5.02545e+07 7.51454e+07 14 6.66667e-01 0.00000e+00 0.00000e+00
2.75177e+08 1.14468e-03 3.41353e-04 -2.86047e-04 -1.43010e+00 -2.29428e-02 5.25159e+07 5.50657e+07 15 7.77778e-01 0.00000e+00 0.00000e+00
2.74136e+08 1.17250e-03 3.50441e-04 -3.59994e-04 -1.42221e+00 -3.46776e-02 5.39140e+07 3.83675e+07 16 8.88889e-01 0.00000e+00 0.00000e+00
2.75379e+08 1.22899e-03 3.55533e-04 -4.81032e-04 -1.33186e+00 -5.39926e-02 5.46974e+07 1.22982e+07 17 1.11111e+00 0.00000e+00 0.00000e+00
2.76948e+08 1.25609e-03 3.53043e-04 -5.30656e-04 -1.26448e+00 -6.05560e-02 5.43143e+07 2.06409e+06 18 1.22222e+00 0.00000e+00 0.00000e+00
2.78870e+08 1.28176e-03 3.47937e-04 -5.73899e-04 -1.18617e+00 -6.52980e-02 5.35287e+07 -6.61588e+06 19 1.33333e+00 0.00000e+00 0.00000e+00
2.81280e+08 1.30670e-03 3.40518e-04 -6.11206e-04 -1.09988e+00 -6.93020e-02 5.23874e+07 -1.37823e+07 20 1.44444e+00 0.00000e+00 0.00000e+00
2.83992e+08 1.33048e-03 3.30852e-04 -6.43195e-04 -1.00605e+00 -7.34966e-02 5.09004e+07 -1.96506e+07 21 1.55556e+00 0.00000e+00 0.00000e+00
2.87244e+08 1.35434e-03 3.18933e-04 -6.70666e-04 -9.05699e-01 -7.84525e-02 4.90666e+07 -2.42944e+07 22 1.66667e+00 0.00000e+00 0.00000e+00
2.91042e+08 1.37865e-03 3.04768e-04 -6.94476e-04 -7.95315e-01 -8.38832e-02 4.68873e+07 -2.78996e+07 23 1.77778e+00 0.00000e+00 0.00000e+00
2.95485e+08 1.40408e-03 2.88526e-04 -7.15311e-04 -6.79298e-01 -8.93000e-02 4.43887e+07 -3.05748e+07 24 1.88889e+00 0.00000e+00 0.00000e+00
3.00457e+08 1.43039e-03 2.70469e-04 -7.33614e-04 -5.57299e-01 -9.40345e-02 4.16106e+07 -3.24663e+07 25 2.00000e+00 0.00000e+00 0.00000e+00
3.05961e+08 1.45767e-03 2.50989e-04 -7.49567e-04 -4.36552e-01 -9.75728e-02 3.86137e+07 -3.36139e+07 26 2.11111e+00 0.00000e+00 0.00000e+00
3.11848e+08 1.48536e-03 2.30541e-04 -7.63163e-04 -3.18518e-01 -9.91692e-02 3.54678e+07 -3.40792e+07 27 2.22222e+00 0.00000e+00 0.00000e+00
3.18068e+08 1.51317e-03 2.09755e-04 -7.74146e-04 -2.12441e-01 -9.81406e-02 3.22700e+07 -3.38271e+07 28 2.33333e+00 0.00000e+00 0.00000e+00
3.24426e+08 1.54011e-03 1.89428e-04 -7.81890e-04 -1.20733e-01 -9.38271e-02 2.91428e+07 -3.28043e+07 29 2.44444e+00 0.00000e+00 0.00000e+00
3.30756e+08 1.56501e-03 1.70659e-04 -7.85140e-04 -5.22731e-02 -8.61960e-02 2.62552e+07 -3.08058e+07 30 2.55556e+00 0.00000e+00 0.00000e+00
3.36690e+08 1.58566e-03 1.54778e-04 -7.81883e-04 -6.36762e-03 -7.59293e-02 2.38120e+07 -2.75468e+07 31 2.66667e+00 0.00000e+00 0.00000e+00
3.41836e+08 1.59945e-03 1.43289e-04 -7.69480e-04 1.42631e-02 -6.48257e-02 2.20444e+07 -2.26155e+07 32 2.77778e+00 0.00000e+00 0.00000e+00
3.45641e+08 1.60299e-03 1.37255e-04 -7.44751e-04 1.90731e-02 -5.62064e-02 2.11161e+07 -1.55497e+07 33 2.88889e+00 0.00000e+00 0.00000e+00
