 Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   Piola_Stress:4   Piola_Stress:5   Piola_Stress:6   Piola_Stress:7   Piola_Stress:8   Equivalent_Plastic_Strain   Displacements:0   Displacements:1   Displacements:2   vtkValidPointMask   Time   PointCoordinates:0   PointCoordinates:1   PointCoordinates:2 
-6.34595e+08 -3.40937e+08 0.00000e+00 -3.90304e+08 1.61606e+09 0.00000e+00 0.00000e+00 0.00000e+00 -1.55300e+08 1.92272e-01 0.00000e+00 5.58285e-02 0.00000e+00 1 1.51944e-04 0.00000e+00 3.05583e+00 0.00000e+00
-2.17636e+09 -2.87560e+08 0.00000e+00 -1.54368e+08 7.57209e+08 0.00000e+00 0.00000e+00 0.00000e+00 -6.56721e+08 1.95893e-01 0.00000e+00 6.16005e-02 0.00000e+00 1 1.65142e-04 0.00000e+00 3.06160e+00 0.00000e+00
-4.03160e+09 -3.53952e+08 0.00000e+00 -4.93869e+07 -5.48389e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.54177e+09 1.97067e-01 0.00000e+00 6.71450e-02 0.00000e+00 1 1.78341e-04 0.00000e+00 3.06715e+00 0.00000e+00
-4.51346e+09 -5.40023e+08 0.00000e+00 -2.45976e+08 -9.07406e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.89089e+09 1.96500e-01 0.00000e+00 7.29589e-02 0.00000e+00 1 1.91545e-04 0.00000e+00 3.07296e+00 0.00000e+00
-3.34393e+09 -7.00059e+08 0.00000e+00 -5.81392e+08 -4.19176e+07 0.00000e+00 0.00000e+00 0.00000e+00 -1.61026e+09 1.96199e-01 0.00000e+00 7.91902e-02 0.00000e+00 1 2.04753e-04 0.00000e+00 3.07919e+00 0.00000e+00
-1.77318e+09 -6.39174e+08 0.00000e+00 -6.69346e+08 9.91594e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.07220e+09 1.97763e-01 0.00000e+00 8.55666e-02 0.00000e+00 1 2.17961e-04 0.00000e+00 3.08557e+00 0.00000e+00
-1.28122e+09 -5.24153e+08 0.00000e+00 -5.66587e+08 1.34460e+09 0.00000e+00 0.00000e+00 0.00000e+00 -8.25497e+08 1.99283e-01 0.00000e+00 9.17404e-02 0.00000e+00 1 2.31170e-04 0.00000e+00 3.09174e+00 0.00000e+00
-2.01894e+09 -5.33304e+08 0.00000e+00 -4.93385e+08 9.32034e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.11512e+09 1.99069e-01 0.00000e+00 9.75925e-02 0.00000e+00 1 2.44380e-04 0.00000e+00 3.09759e+00 0.00000e+00
-2.92265e+09 -6.28395e+08 0.00000e+00 -5.14701e+08 1.30087e+07 0.00000e+00 0.00000e+00 0.00000e+00 -1.57093e+09 1.99040e-01 0.00000e+00 1.03277e-01 0.00000e+00 1 2.57595e-04 0.00000e+00 3.10328e+00 0.00000e+00
-3.23870e+09 -7.22271e+08 0.00000e+00 -6.02260e+08 -5.46603e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.81890e+09 1.99040e-01 0.00000e+00 1.09076e-01 0.00000e+00 1 2.70814e-04 0.00000e+00 3.10908e+00 0.00000e+00
-2.76037e+09 -7.53114e+08 0.00000e+00 -6.96350e+08 -2.31495e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.68798e+09 1.99038e-01 0.00000e+00 1.15145e-01 0.00000e+00 1 2.84031e-04 0.00000e+00 3.11514e+00 0.00000e+00
-1.96294e+09 -7.60200e+08 0.00000e+00 -8.03608e+08 6.58002e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.30254e+09 1.98421e-01 0.00000e+00 1.21361e-01 0.00000e+00 1 2.97247e-04 0.00000e+00 3.12136e+00 0.00000e+00
-1.37824e+09 -7.30699e+08 0.00000e+00 -8.35010e+08 1.22313e+09 0.00000e+00 0.00000e+00 0.00000e+00 -1.06302e+09 1.97932e-01 0.00000e+00 1.27447e-01 0.00000e+00 1 3.10462e-04 0.00000e+00 3.12745e+00 0.00000e+00
-1.45473e+09 -7.50789e+08 0.00000e+00 -8.48740e+08 8.97184e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.20308e+09 1.97925e-01 0.00000e+00 1.33238e-01 0.00000e+00 1 3.23680e-04 0.00000e+00 3.13324e+00 0.00000e+00
-2.11598e+09 -7.95192e+08 0.00000e+00 -8.26588e+08 -1.78499e+07 0.00000e+00 0.00000e+00 0.00000e+00 -1.61146e+09 1.97925e-01 0.00000e+00 1.38842e-01 0.00000e+00 1 3.36900e-04 0.00000e+00 3.13884e+00 0.00000e+00
-2.59098e+09 -8.24268e+08 0.00000e+00 -8.07798e+08 -6.28553e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.87286e+09 1.97925e-01 0.00000e+00 1.44571e-01 0.00000e+00 1 3.50120e-04 0.00000e+00 3.14457e+00 0.00000e+00
-2.20119e+09 -8.17391e+08 0.00000e+00 -8.43966e+08 -2.92820e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.67020e+09 1.97925e-01 0.00000e+00 1.50626e-01 0.00000e+00 1 3.63340e-04 0.00000e+00 3.15063e+00 0.00000e+00
-1.22468e+09 -7.90999e+08 0.00000e+00 -9.24793e+08 6.28358e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.18405e+09 1.97925e-01 0.00000e+00 1.56869e-01 0.00000e+00 1 3.76561e-04 0.00000e+00 3.15687e+00 0.00000e+00
-6.90053e+08 -7.80205e+08 0.00000e+00 -9.74408e+08 1.13169e+09 0.00000e+00 0.00000e+00 0.00000e+00 -9.43563e+08 1.97925e-01 0.00000e+00 1.62954e-01 0.00000e+00 1 3.89784e-04 0.00000e+00 3.16295e+00 0.00000e+00
-1.15794e+09 -8.03856e+08 0.00000e+00 -9.48666e+08 6.77352e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.22531e+09 1.97925e-01 0.00000e+00 1.68698e-01 0.00000e+00 1 4.03007e-04 0.00000e+00 3.16870e+00 0.00000e+00
-2.02529e+09 -8.46994e+08 0.00000e+00 -9.01616e+08 -2.33171e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.71891e+09 1.97925e-01 0.00000e+00 1.74277e-01 0.00000e+00 1 4.16230e-04 0.00000e+00 3.17428e+00 0.00000e+00
-2.22915e+09 -8.71980e+08 0.00000e+00 -9.09840e+08 -6.12150e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.87585e+09 1.97925e-01 0.00000e+00 1.80029e-01 0.00000e+00 1 4.29453e-04 0.00000e+00 3.18003e+00 0.00000e+00
-1.53860e+09 -8.54103e+08 0.00000e+00 -9.67766e+08 -8.82868e+07 0.00000e+00 0.00000e+00 0.00000e+00 -1.54486e+09 1.97925e-01 0.00000e+00 1.86083e-01 0.00000e+00 1 4.42678e-04 0.00000e+00 3.18608e+00 0.00000e+00
-7.48502e+08 -8.10561e+08 0.00000e+00 -1.00433e+09 7.04271e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.11658e+09 1.97925e-01 0.00000e+00 1.92236e-01 0.00000e+00 1 4.55903e-04 0.00000e+00 3.19224e+00 0.00000e+00
-6.17783e+08 -7.87667e+08 0.00000e+00 -9.88731e+08 9.14355e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.03148e+09 1.97925e-01 0.00000e+00 1.98192e-01 0.00000e+00 1 4.69126e-04 0.00000e+00 3.19819e+00 0.00000e+00
-1.08430e+09 -8.08478e+08 0.00000e+00 -9.59444e+08 3.81571e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.31521e+09 1.97925e-01 0.00000e+00 2.03879e-01 0.00000e+00 1 4.82348e-04 0.00000e+00 3.20388e+00 0.00000e+00
-1.55703e+09 -8.44853e+08 0.00000e+00 -9.50551e+08 -3.00199e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.63662e+09 1.97925e-01 0.00000e+00 2.09500e-01 0.00000e+00 1 4.95573e-04 0.00000e+00 3.20950e+00 0.00000e+00
-1.60065e+09 -8.50010e+08 0.00000e+00 -9.51899e+08 -4.37282e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.68313e+09 1.97925e-01 0.00000e+00 2.15303e-01 0.00000e+00 1 5.08798e-04 0.00000e+00 3.21530e+00 0.00000e+00
-1.20254e+09 -8.14605e+08 0.00000e+00 -9.52631e+08 8.07224e+07 0.00000e+00 0.00000e+00 0.00000e+00 -1.42214e+09 1.97925e-01 0.00000e+00 2.21339e-01 0.00000e+00 1 5.22023e-04 0.00000e+00 3.22134e+00 0.00000e+00
-6.76152e+08 -7.78586e+08 0.00000e+00 -9.68267e+08 7.02979e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.09596e+09 1.97925e-01 0.00000e+00 2.27417e-01 0.00000e+00 1 5.35249e-04 0.00000e+00 3.22742e+00 0.00000e+00
-4.79756e+08 -7.80652e+08 0.00000e+00 -9.94951e+08 7.82538e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.01719e+09 1.97925e-01 0.00000e+00 2.33308e-01 0.00000e+00 1 5.48475e-04 0.00000e+00 3.23331e+00 0.00000e+00
-8.45111e+08 -8.13213e+08 0.00000e+00 -9.93524e+08 2.20221e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.28102e+09 1.97925e-01 0.00000e+00 2.38975e-01 0.00000e+00 1 5.61703e-04 0.00000e+00 3.23898e+00 0.00000e+00
-1.38346e+09 -8.35365e+08 0.00000e+00 -9.56915e+08 -3.87935e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.61303e+09 1.97925e-01 0.00000e+00 2.44623e-01 0.00000e+00 1 5.74930e-04 0.00000e+00 3.24462e+00 0.00000e+00
-1.37577e+09 -8.24574e+08 0.00000e+00 -9.42476e+08 -3.48540e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.61960e+09 1.97925e-01 0.00000e+00 2.50481e-01 0.00000e+00 1 5.88158e-04 0.00000e+00 3.25048e+00 0.00000e+00
-7.11094e+08 -7.97849e+08 0.00000e+00 -9.86767e+08 3.00905e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.26911e+09 1.97925e-01 0.00000e+00 2.56543e-01 0.00000e+00 1 6.01387e-04 0.00000e+00 3.25654e+00 0.00000e+00
-1.64814e+08 -7.84565e+08 0.00000e+00 -1.03604e+09 7.94589e+08 0.00000e+00 0.00000e+00 0.00000e+00 -9.74896e+08 1.97925e-01 0.00000e+00 2.62568e-01 0.00000e+00 1 6.14616e-04 0.00000e+00 3.26257e+00 0.00000e+00
-4.00586e+08 -7.95669e+08 0.00000e+00 -1.02238e+09 5.60923e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.08143e+09 1.97925e-01 0.00000e+00 2.68363e-01 0.00000e+00 1 6.27843e-04 0.00000e+00 3.26836e+00 0.00000e+00
-1.05867e+09 -8.13965e+08 0.00000e+00 -9.66351e+08 -9.87259e+07 0.00000e+00 0.00000e+00 0.00000e+00 -1.42158e+09 1.97925e-01 0.00000e+00 2.74008e-01 0.00000e+00 1 6.41071e-04 0.00000e+00 3.27401e+00 0.00000e+00
-1.25684e+09 -8.16370e+08 0.00000e+00 -9.44502e+08 -3.99826e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.55698e+09 1.97925e-01 0.00000e+00 2.79743e-01 0.00000e+00 1 6.54301e-04 0.00000e+00 3.27974e+00 0.00000e+00
-7.82412e+08 -7.98849e+08 0.00000e+00 -9.77483e+08 -3.82464e+07 0.00000e+00 0.00000e+00 0.00000e+00 -1.35305e+09 1.97925e-01 0.00000e+00 2.85680e-01 0.00000e+00 1 6.67530e-04 0.00000e+00 3.28568e+00 0.00000e+00
-2.54355e+08 -7.80313e+08 0.00000e+00 -1.01708e+09 5.04696e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.09262e+09 1.97925e-01 0.00000e+00 2.91691e-01 0.00000e+00 1 6.80759e-04 0.00000e+00 3.29169e+00 0.00000e+00
-1.98516e+08 -7.84254e+08 0.00000e+00 -1.03014e+09 6.24965e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.05751e+09 1.97925e-01 0.00000e+00 2.97585e-01 0.00000e+00 1 6.93989e-04 0.00000e+00 3.29759e+00 0.00000e+00
-5.11205e+08 -8.08343e+08 0.00000e+00 -1.02472e+09 2.53526e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.22503e+09 1.97925e-01 0.00000e+00 3.03319e-01 0.00000e+00 1 7.07220e-04 0.00000e+00 3.30332e+00 0.00000e+00
-8.03646e+08 -8.22072e+08 0.00000e+00 -1.00669e+09 -1.78405e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.38737e+09 1.97925e-01 0.00000e+00 3.09020e-01 0.00000e+00 1 7.20450e-04 0.00000e+00 3.30902e+00 0.00000e+00
-8.28216e+08 -8.02922e+08 0.00000e+00 -9.76529e+08 -2.29134e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.39064e+09 1.97925e-01 0.00000e+00 3.14833e-01 0.00000e+00 1 7.33681e-04 0.00000e+00 3.31483e+00 0.00000e+00
-5.46304e+08 -7.67593e+08 0.00000e+00 -9.62202e+08 1.34796e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.23099e+09 1.97925e-01 0.00000e+00 3.20778e-01 0.00000e+00 1 7.46912e-04 0.00000e+00 3.32078e+00 0.00000e+00
-1.54465e+08 -7.52827e+08 0.00000e+00 -9.90032e+08 5.22999e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.04898e+09 1.97925e-01 0.00000e+00 3.26730e-01 0.00000e+00 1 7.60144e-04 0.00000e+00 3.32673e+00 0.00000e+00
-5.29769e+07 -7.70803e+08 0.00000e+00 -1.02750e+09 5.05589e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.03950e+09 1.97925e-01 0.00000e+00 3.32557e-01 0.00000e+00 1 7.73376e-04 0.00000e+00 3.33256e+00 0.00000e+00
-4.20934e+08 -7.97774e+08 0.00000e+00 -1.01946e+09 7.79197e+07 0.00000e+00 0.00000e+00 0.00000e+00 -1.24050e+09 1.97925e-01 0.00000e+00 3.38263e-01 0.00000e+00 1 7.86608e-04 0.00000e+00 3.33826e+00 0.00000e+00
-8.33701e+08 -8.05102e+08 0.00000e+00 -9.79188e+08 -2.73862e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.42127e+09 1.97925e-01 0.00000e+00 3.43998e-01 0.00000e+00 1 7.99840e-04 0.00000e+00 3.34400e+00 0.00000e+00
-7.07132e+08 -7.91918e+08 0.00000e+00 -9.76527e+08 -1.13003e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.33531e+09 1.97925e-01 0.00000e+00 3.49888e-01 0.00000e+00 1 8.13073e-04 0.00000e+00 3.34989e+00 0.00000e+00
-1.34405e+08 -7.77159e+08 0.00000e+00 -1.02607e+09 3.80110e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.06829e+09 1.97925e-01 0.00000e+00 3.55871e-01 0.00000e+00 1 8.26306e-04 0.00000e+00 3.35587e+00 0.00000e+00
1.85279e+08 -7.73557e+08 0.00000e+00 -1.05993e+09 6.10158e+08 0.00000e+00 0.00000e+00 0.00000e+00 -9.50494e+08 1.97925e-01 0.00000e+00 3.61768e-01 0.00000e+00 1 8.39539e-04 0.00000e+00 3.36177e+00 0.00000e+00
-9.99670e+07 -7.77782e+08 0.00000e+00 -1.02959e+09 3.06760e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.11666e+09 1.97925e-01 0.00000e+00 3.67496e-01 0.00000e+00 1 8.52772e-04 0.00000e+00 3.36750e+00 0.00000e+00
-5.64760e+08 -7.77734e+08 0.00000e+00 -9.71791e+08 -1.64390e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.33981e+09 1.97925e-01 0.00000e+00 3.73171e-01 0.00000e+00 1 8.66005e-04 0.00000e+00 3.37317e+00 0.00000e+00
-6.35225e+08 -7.68983e+08 0.00000e+00 -9.51170e+08 -2.67461e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.34975e+09 1.97925e-01 0.00000e+00 3.78964e-01 0.00000e+00 1 8.79238e-04 0.00000e+00 3.37896e+00 0.00000e+00
-2.82870e+08 -7.59167e+08 0.00000e+00 -9.81593e+08 8.32443e+07 0.00000e+00 0.00000e+00 0.00000e+00 -1.15611e+09 1.97925e-01 0.00000e+00 3.84905e-01 0.00000e+00 1 8.92471e-04 0.00000e+00 3.38491e+00 0.00000e+00
8.57282e+07 -7.59820e+08 0.00000e+00 -1.02906e+09 4.85776e+08 0.00000e+00 0.00000e+00 0.00000e+00 -9.80187e+08 1.97925e-01 0.00000e+00 3.90865e-01 0.00000e+00 1 9.05705e-04 0.00000e+00 3.39087e+00 0.00000e+00
1.41439e+08 -7.73527e+08 0.00000e+00 -1.05524e+09 5.27343e+08 0.00000e+00 0.00000e+00 0.00000e+00 -9.86996e+08 1.97925e-01 0.00000e+00 3.96702e-01 0.00000e+00 1 9.18939e-04 0.00000e+00 3.39670e+00 0.00000e+00
-1.26277e+08 -7.86672e+08 0.00000e+00 -1.03928e+09 1.80227e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.15338e+09 1.97925e-01 0.00000e+00 4.02407e-01 0.00000e+00 1 9.32174e-04 0.00000e+00 3.40241e+00 0.00000e+00
-4.47618e+08 -7.82268e+08 0.00000e+00 -9.92338e+08 -1.97674e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.31215e+09 1.97925e-01 0.00000e+00 4.08107e-01 0.00000e+00 1 9.45408e-04 0.00000e+00 3.40811e+00 0.00000e+00
-4.61596e+08 -7.61411e+08 0.00000e+00 -9.61203e+08 -2.08969e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.29069e+09 1.97925e-01 0.00000e+00 4.13935e-01 0.00000e+00 1 9.58643e-04 0.00000e+00 3.41393e+00 0.00000e+00
-7.26746e+07 -7.42899e+08 0.00000e+00 -9.83297e+08 1.67191e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.08383e+09 1.97925e-01 0.00000e+00 4.19888e-01 0.00000e+00 1 9.71878e-04 0.00000e+00 3.41989e+00 0.00000e+00
3.52907e+08 -7.41478e+08 0.00000e+00 -1.03404e+09 5.25482e+08 0.00000e+00 0.00000e+00 0.00000e+00 -8.96914e+08 1.97925e-01 0.00000e+00 4.25826e-01 0.00000e+00 1 9.85113e-04 0.00000e+00 3.42583e+00 0.00000e+00
3.56499e+08 -7.55241e+08 0.00000e+00 -1.05347e+09 4.70041e+08 0.00000e+00 0.00000e+00 0.00000e+00 -9.36285e+08 1.97925e-01 0.00000e+00 4.31618e-01 0.00000e+00 1 9.98348e-04 0.00000e+00 3.43162e+00 0.00000e+00
-4.10723e+07 -7.70499e+08 0.00000e+00 -1.02504e+09 6.36190e+07 0.00000e+00 0.00000e+00 0.00000e+00 -1.15601e+09 1.97925e-01 0.00000e+00 4.37290e-01 0.00000e+00 1 1.01158e-03 0.00000e+00 3.43729e+00 0.00000e+00
