 stress_11   strain_11   strain_21   strain_22   velocity_x   velocity_y   stress_21   stress_22   vtkOriginalPointIds   Points:0   Points:1   Points:2 
2.00921e+08 7.65979e-04 1.74848e-05 -4.59699e-05 -4.32983e+00 9.57487e-02 2.68997e+06 7.60057e+07 0 0.00000e+00 0.00000e+00 0.00000e+00
1.76570e+08 7.51319e-04 7.13122e-05 -2.22809e-04 -3.93330e+00 -1.22118e-01 1.09711e+07 2.67037e+07 1 1.00000e+00 0.00000e+00 0.00000e+00
1.35307e+07 5.09176e-05 1.49354e-06 -1.54134e-06 -8.56947e-02 -5.29076e-03 2.29775e+05 5.46013e+06 2 3.00000e+00 0.00000e+00 0.00000e+00
2.00891e+08 7.65884e-04 2.09311e-05 -4.60052e-05 -4.33859e+00 8.19881e-02 3.22016e+06 7.59852e+07 9 1.11111e-01 0.00000e+00 0.00000e+00
1.97909e+08 8.06748e-04 3.83376e-05 -1.67199e-04 -4.33831e+00 2.76923e-02 5.89809e+06 4.80712e+07 10 2.22222e-01 0.00000e+00 0.00000e+00
1.97354e+08 8.04696e-04 4.10861e-05 -1.67223e-04 -4.32967e+00 1.83212e-02 6.32094e+06 4.78279e+07 11 3.33333e-01 0.00000e+00 0.00000e+00
1.92915e+08 8.15163e-04 5.53763e-05 -2.30116e-04 -4.27294e+00 -2.91212e-02 8.51943e+06 3.21028e+07 12 4.44444e-01 0.00000e+00 0.00000e+00
1.91860e+08 8.11253e-04 5.75316e-05 -2.30139e-04 -4.24958e+00 -3.76476e-02 8.85102e+06 3.16456e+07 13 5.55556e-01 0.00000e+00 0.00000e+00
1.86278e+08 7.96563e-04 6.70877e-05 -2.44238e-04 -4.14841e+00 -8.00323e-02 1.03212e+07 2.61548e+07 14 6.66667e-01 0.00000e+00 0.00000e+00
1.84832e+08 7.91201e-04 6.83680e-05 -2.44255e-04 -4.11389e+00 -8.71429e-02 1.05182e+07 2.55314e+07 15 7.77778e-01 0.00000e+00 0.00000e+00
1.78387e+08 7.58067e-04 7.11593e-05 -2.22802e-04 -3.97720e+00 -1.18627e-01 1.09476e+07 2.74841e+07 16 8.88889e-01 0.00000e+00 0.00000e+00
1.68878e+08 7.04794e-04 6.71580e-05 -1.80913e-04 -3.75762e+00 -1.37693e-01 1.03320e+07 3.26150e+07 17 1.11111e+00 0.00000e+00 0.00000e+00
1.66426e+08 6.95684e-04 6.62418e-05 -1.80907e-04 -3.69988e+00 -1.36311e-01 1.01910e+07 3.15655e+07 18 1.22222e+00 0.00000e+00 0.00000e+00
1.56264e+08 6.37288e-04 5.70210e-05 -1.32713e-04 -3.46458e+00 -1.35737e-01 8.77246e+06 3.78027e+07 19 1.33333e+00 0.00000e+00 0.00000e+00
1.52647e+08 6.23846e-04 5.53993e-05 -1.32696e-04 -3.38222e+00 -1.30143e-01 8.52297e+06 3.62564e+07 20 1.44444e+00 0.00000e+00 0.00000e+00
1.38693e+08 5.53098e-04 4.39497e-05 -8.85523e-05 -3.06351e+00 -1.17590e-01 6.76150e+06 3.99780e+07 21 1.55556e+00 0.00000e+00 0.00000e+00
1.33476e+08 5.33708e-04 4.21070e-05 -8.85294e-05 -2.94724e+00 -1.09790e-01 6.47800e+06 3.77469e+07 22 1.66667e+00 0.00000e+00 0.00000e+00
1.15574e+08 4.52370e-04 3.09681e-05 -5.38843e-05 -2.54459e+00 -9.12003e-02 4.76432e+06 3.76892e+07 23 1.77778e+00 0.00000e+00 0.00000e+00
1.08886e+08 4.27516e-04 2.93090e-05 -5.38617e-05 -2.39696e+00 -8.33725e-02 4.50908e+06 3.48275e+07 24 1.88889e+00 0.00000e+00 0.00000e+00
8.87351e+07 3.42406e-04 2.00401e-05 -2.99092e-05 -1.94781e+00 -6.40116e-02 3.08309e+06 3.14559e+07 25 2.00000e+00 0.00000e+00 0.00000e+00
8.14084e+07 3.15184e-04 1.87815e-05 -2.98908e-05 -1.78626e+00 -5.76305e-02 2.88946e+06 2.83199e+07 26 2.11111e+00 0.00000e+00 0.00000e+00
6.19567e+07 2.36609e-04 1.19247e-05 -1.51308e-05 -1.35271e+00 -4.09239e-02 1.83456e+06 2.32274e+07 27 2.22222e+00 0.00000e+00 0.00000e+00
5.51749e+07 2.11414e-04 1.10994e-05 -1.51181e-05 -1.20143e+00 -3.65067e-02 1.70760e+06 2.03237e+07 28 2.33333e+00 0.00000e+00 0.00000e+00
3.92233e+07 1.48677e-04 6.49217e-06 -6.97825e-06 -8.38514e-01 -2.39969e-02 9.98796e+05 1.52763e+07 29 2.44444e+00 0.00000e+00 0.00000e+00
3.39759e+07 1.29184e-04 6.02105e-06 -6.97050e-06 -7.15416e-01 -2.13286e-02 9.26316e+05 1.30291e+07 30 2.55556e+00 0.00000e+00 0.00000e+00
2.31311e+07 8.71844e-05 3.17888e-06 -2.96034e-06 -4.44728e-01 -1.31162e-02 4.89059e+05 9.26272e+06 31 2.66667e+00 0.00000e+00 0.00000e+00
1.99183e+07 7.52492e-05 2.96604e-06 -2.95601e-06 -3.53007e-01 -1.15608e-02 4.56314e+05 7.88675e+06 32 2.77778e+00 0.00000e+00 0.00000e+00
1.45757e+07 5.47996e-05 1.57218e-06 -1.54319e-06 -1.57768e-01 -6.03773e-03 2.41875e+05 5.90755e+06 33 2.88889e+00 0.00000e+00 0.00000e+00
