 J   velocity_y   velocity_x   Piola_22   F_22   F_21   Piola_21   pl_F_22   pl_F_21   F_12   Piola_12   Piola_11   F_11   pl_F_12   pl_F_11   epeq   vtkOriginalPointIds   Points:0   Points:1   Points:2 
9.40314e-01 0.00000e+00 -5.04660e+00 -1.00465e+10 1.00086e+00 -3.45526e-05 -4.64985e+07 1.02027e+00 2.11369e-05 -4.35173e-04 -3.96657e+07 -1.11839e+10 9.39502e-01 1.66551e-05 9.60536e-01 4.02811e-02 22 1.56185e+00 0.00000e+00 0.00000e+00
9.40148e-01 0.00000e+00 -4.65220e+00 -1.00884e+10 1.00068e+00 -4.96555e-05 -4.29941e+07 1.02021e+00 1.81562e-05 -3.87872e-04 -3.70126e+07 -1.12209e+10 9.39512e-01 1.41918e-05 9.60636e-01 4.01696e-02 23 1.66622e+00 0.00000e+00 0.00000e+00
9.40048e-01 0.00000e+00 -4.21297e+00 -1.01203e+10 1.00048e+00 -6.39507e-05 -3.70809e+07 1.02013e+00 1.45157e-05 -3.16809e-04 -3.23382e+07 -1.12442e+10 9.39594e-01 1.09295e-05 9.60786e-01 4.00085e-02 24 1.77059e+00 0.00000e+00 0.00000e+00
9.40110e-01 0.00000e+00 -3.81486e+00 -1.01245e+10 1.00029e+00 -6.95262e-05 -2.89150e+07 1.02000e+00 1.08266e-05 -2.30000e-04 -2.56202e+07 -1.12341e+10 9.39833e-01 7.54174e-06 9.61036e-01 3.97468e-02 25 1.87498e+00 0.00000e+00 0.00000e+00
9.40507e-01 0.00000e+00 -3.76215e+00 -1.00678e+10 1.00013e+00 -6.18644e-05 -1.96218e+07 1.01977e+00 8.58955e-06 -1.40979e-04 -1.77205e+07 -1.11554e+10 9.40382e-01 5.64828e-06 9.61478e-01 3.92854e-02 26 1.97942e+00 0.00000e+00 0.00000e+00
9.41508e-01 0.00000e+00 -4.75108e+00 -9.90087e+09 1.00001e+00 -4.38611e-05 -1.11386e+07 1.01935e+00 9.82497e-06 -6.40050e-05 -1.03336e+07 -1.09551e+10 9.41495e-01 7.38443e-06 9.62281e-01 3.84495e-02 27 2.08394e+00 0.00000e+00 0.00000e+00
9.43459e-01 0.00000e+00 -8.00324e+00 -9.56215e+09 9.99945e-01 -2.30243e-05 -5.04946e+06 1.01862e+00 1.51405e-05 -7.74451e-06 -4.93372e+06 -1.05664e+10 9.43510e-01 1.34023e-05 9.63678e-01 3.69987e-02 28 2.18863e+00 0.00000e+00 0.00000e+00
9.46760e-01 0.00000e+00 -1.51669e+01 -8.98304e+09 9.99920e-01 -5.09970e-06 -1.53652e+06 1.01742e+00 2.39759e-05 3.02819e-05 -1.77756e+06 -9.91440e+09 9.46836e-01 2.30144e-05 9.65948e-01 3.46451e-02 29 2.29361e+00 0.00000e+00 0.00000e+00
9.51832e-01 0.00000e+00 -2.77292e+01 -8.09346e+09 9.99930e-01 1.03833e-05 2.72095e+05 1.01563e+00 3.60067e-05 5.84843e-05 -1.21662e+05 -8.92590e+09 9.51899e-01 3.57135e-05 9.69384e-01 3.10944e-02 30 2.39903e+00 0.00000e+00 0.00000e+00
9.59070e-01 0.00000e+00 -4.58157e+01 -6.83073e+09 9.99971e-01 3.44219e-05 1.49180e+06 1.01311e+00 5.71254e-05 8.97601e-05 1.07730e+06 -7.54209e+09 9.59097e-01 5.72706e-05 9.74250e-01 2.60877e-02 31 2.50511e+00 0.00000e+00 0.00000e+00
9.68705e-01 0.00000e+00 -6.71771e+01 -5.16385e+09 1.00005e+00 1.06792e-04 3.35698e+06 1.00982e+00 1.10004e-04 1.43750e-04 3.12305e+06 -5.74729e+09 9.68655e-01 1.10359e-04 9.80682e-01 1.95076e-02 32 2.61212e+00 0.00000e+00 0.00000e+00
9.80567e-01 0.00000e+00 -8.73783e+01 -3.13380e+09 1.00015e+00 4.35638e-04 9.86535e+06 1.00582e+00 2.62929e-04 2.01756e-04 1.06104e+07 -3.60854e+09 9.80421e-01 2.63465e-04 9.88571e-01 1.14997e-02 33 2.72031e+00 0.00000e+00 0.00000e+00
